AQI,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,CO_8hr,PM2.5_AVG,PM10_AVG,Season
98.1756038647343,1.9622524154589371,0.47634541062801933,27.583496376811595,27.435265700483093,51.31062801932367,34.392300724637686,14.468810386473429,16.746379830917874,2.272270531400966,1.2769202898550724,238.13786231884058,0.4747946859903382,34.486533816425116,51.334722222222226,Winter
97.67427536231884,2.0395954106280194,0.45457699275362323,28.281437198067632,28.16032608695652,51.87841183574879,34.64776570048309,13.449858091787439,15.690090579710146,2.2275,1.3708907004830917,240.47211956521738,0.4563586956521739,34.66262077294686,51.86684782608696,Winter
112.72385265700483,2.1330132850241545,0.4543357487922705,35.34041666666667,37.120652173913044,58.72240338164251,41.27104468599034,12.90144927536232,14.451751207729469,1.5372463768115943,1.4668599033816425,241.80957125603862,0.45208333333333334,41.14710144927536,58.775845410628015,early spring
72.85012939958592,1.963021911663216,0.3591193064182195,32.17631297446515,32.009497929606624,38.769811076604555,23.742520703933746,10.104888285024154,11.592445652173913,1.5053140096618356,1.3679572118702554,208.9648317805383,0.38193409247757076,23.935041407867494,39.49773982056591,early spring
63.85565272288098,1.7950501207729468,0.31853571585419416,31.47403381642512,31.43648935002196,32.573897672375935,20.199446091348264,8.816293258673692,10.276802536231884,1.4760107048748352,1.4653956960913483,224.53764273166448,0.32018741765480896,20.342476943346508,32.69646190162494,late spring & summer
36.745518562821196,1.786049443437315,0.23177280150034726,19.901344000028068,20.013012865387008,20.20256666991793,11.372609077040428,7.025005702084592,8.998104388689114,1.9685722974267026,1.447219844737007,193.12667216129915,0.22767250407162687,11.187624233921431,19.91625072816178,late spring & summer
47.470450232135015,1.8498843246125853,0.2320068294225903,27.89437701941778,27.960563973063973,25.37157610907611,14.914741598176382,7.06571888083736,8.231314386619822,1.1880812916954222,1.5532190172951041,203.38291951607167,0.2612692313054632,14.965085050818747,25.217252016127578,late spring & summer
46.15721204413659,1.8457596075067302,0.2223542411517156,25.650998848054474,24.83727133906162,27.176907984740467,14.758740359171945,6.870881611816714,8.18869641033164,1.3236783696198657,1.753201927725585,217.68880771792857,0.2187218908542438,14.47737564722859,26.830629586384063,late spring & summer
73.15555555555555,2.2239583333333335,0.29709027777777774,34.69666666666667,34.61111111111111,37.68958333333333,23.57777777777778,8.411180555555555,9.532152777777778,1.1442361111111112,1.5977083333333333,216.80805555555557,0.2956944444444444,23.6,37.65416666666667,late spring & summer
69.76954796411317,1.9591899585921326,0.32710649585921325,31.57469806763285,31.47795462387854,38.601772774327124,23.204839544513458,10.014425897170463,11.50263630089717,1.4866463940648724,1.5264898205659074,224.73615683229812,0.32616934092477573,23.291330227743273,38.570578847481016,late spring & summer
73.27950634057972,1.9610899758454108,0.3721467391304348,26.68530193236715,26.42313556763285,41.6762077294686,24.748550724637678,11.070902777777778,12.8689696557971,1.7150203804347826,1.255209842995169,242.88392512077294,0.37217391304347824,24.687054649758455,41.748958333333334,Autumn
77.25684631642511,1.9946286231884056,0.4253354468599034,23.930410628019324,23.620946557971013,40.75166062801932,26.616002415458937,13.326246980676329,15.352150513285023,2.0452755132850244,1.201203200483092,245.2237620772947,0.4253592995169082,26.412099939613526,40.450045289855076,Autumn
77.65787037037038,2.1338194444444443,0.4582175925925926,24.44939814814815,24.393055555555556,40.238888888888894,26.553009259259262,14.725787037037037,17.857986111111114,3.147731481481481,1.1619444444444444,241.3625925925926,0.46125,26.856944444444444,40.50046296296296,Winter
60.41642512077295,1.8021890096618356,0.44308212560386473,22.769468599033818,22.712681159420292,29.96856884057971,19.81527777777778,12.57887077294686,14.649079106280194,2.0472644927536234,1.2696437198067632,252.8819806763285,0.4448671497584541,19.857246376811595,29.744987922705313,Winter
78.84619565217392,1.938641304347826,0.3907246376811594,34.06573671497584,33.94776570048309,42.7782306763285,25.83973429951691,12.173599033816425,13.94236111111111,1.7888375603864732,1.4579257246376813,245.19394323671497,0.3914190821256039,25.878381642512075,42.29251207729468,early spring
82.63527777777777,2.0855833333333336,0.3545569444444444,37.86241666666667,37.75944444444444,42.537083333333335,27.14763888888889,11.2065,12.623180555555557,1.4148055555555556,1.5544722222222223,246.31875,0.3571944444444445,27.22888888888889,42.649166666666666,early spring
76.12868357487923,1.904236111111111,0.29516606280193236,35.93904589371981,35.85597826086957,36.52255434782608,24.95830314009662,9.56471618357488,10.732391304347827,1.1647584541062803,1.686268115942029,238.88208333333333,0.29847222222222225,25.061111111111114,36.53786231884058,early spring
59.41002415458937,1.8529207839262187,0.24549020092226614,32.78874752964427,32.8245992534036,25.68498298199385,17.981609574000878,8.621152832674571,9.83693511198946,1.2299947848045674,1.6447784914361,231.46656016688624,0.24666941150636804,18.09766139657444,25.731916996047428,late spring & summer
55.10851449275363,1.866917270531401,0.22398037439613525,26.327092391304348,26.180193236714974,26.462107487922705,17.51032608695652,7.660102657004831,9.329130434782607,1.702974033816425,1.5991998792270532,219.39424516908213,0.2261292270531401,17.56479468599034,26.46153381642512,late spring & summer
52.45046583850932,1.8862297273982056,0.23198089199447894,29.818379054520356,29.711809868875086,25.3288345410628,16.716593340234645,7.673814268461007,9.101964285714285,1.4287474120082815,1.5620238095238095,220.54715752242925,0.2335722912353347,16.76680469289165,25.314535886818494,late spring & summer
52.546135265700485,1.9172876409017714,0.24817703301127214,27.145303945249598,26.897000805152977,23.727435587761672,16.864190821256038,7.744992954911433,9.714883252818035,1.9841535829307566,1.5972916666666668,218.61253019323672,0.24272946859903383,16.803522544283414,23.500020128824477,late spring & summer
