Season,AQI,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,CO_8hr,PM2.5_AVG,PM10_AVG
Winter,107.58333333333333,1.8041666666666665,0.5554166666666667,29.058333333333334,29.416666666666668,60.833333333333336,40.083333333333336,15.291666666666666,18.479166666666668,3.154166666666667,1.2541666666666667,231.33333333333334,0.5458333333333333,38.166666666666664,59.333333333333336
Winter,105.54166666666667,1.1833333333333333,0.4775,26.354166666666668,27.958333333333332,53.708333333333336,35.791666666666664,15.204166666666666,16.654166666666665,1.4666666666666668,1.1416666666666666,223.95833333333334,0.4916666666666667,37.291666666666664,54.958333333333336
Winter,96.25,1.2416666666666667,0.4379166666666667,29.3875,26.791666666666668,53.708333333333336,34.458333333333336,14.387500000000001,16.654166666666665,2.2291666666666665,1.3666666666666665,223.08333333333334,0.45,33.666666666666664,53.458333333333336
Winter,119.875,1.3499999999999999,0.4266666666666667,32.62083333333333,31.625,63.75,43.875,11.679166666666667,13.433333333333332,1.8208333333333335,1.2833333333333334,229.58333333333334,0.43333333333333335,42.916666666666664,62.291666666666664
Winter,129.20833333333334,1.8208333333333335,0.38958333333333334,29.287499999999998,30.5,62.541666666666664,45.75,11.145833333333334,13.408333333333333,2.183333333333333,1.1791666666666667,247.20833333333334,0.3958333333333333,46.791666666666664,64.5
Winter,110.375,2.4791666666666665,0.35520833333333335,27.083333333333332,25.625,57.8125,39.520833333333336,12.049999999999999,15.427083333333334,3.2875,1.5083333333333335,258.25,0.35000000000000003,39.166666666666664,56.875
Winter,105.83333333333333,2.0791666666666666,0.37125,24.766666666666666,27.416666666666668,49.333333333333336,32.958333333333336,11.833333333333334,13.858333333333334,2.0541666666666667,1.3125,241.625,0.37916666666666665,37.25,55.25
Winter,70.91666666666667,2.0749999999999997,0.39625,27.258333333333336,25.083333333333332,40.875,25.208333333333332,12.204166666666666,14.466666666666667,2.245833333333333,1.1833333333333333,227.29166666666666,0.37916666666666665,23.625,38.208333333333336
Winter,88.56521739130434,2.608695652173913,0.4930434782608696,31.52173913043478,30.347826086956523,45.56521739130435,31.0,14.708695652173914,18.47391304347826,3.717391304347826,1.2478260869565216,241.3913043478261,0.4739130434782609,30.695652173913043,45.78260869565217
Winter,100.45833333333333,2.345833333333333,0.5545833333333333,30.59583333333333,30.375,52.75,36.375,16.533333333333335,20.320833333333333,3.779166666666667,1.3291666666666666,224.33333333333334,0.5499999999999999,35.5,51.666666666666664
Winter,103.25,2.4875,0.525,32.145833333333336,31.208333333333332,53.833333333333336,36.75,16.691666666666666,19.758333333333333,2.920833333333333,1.2791666666666666,230.0,0.5291666666666667,36.458333333333336,52.208333333333336
Winter,144.33333333333334,1.8833333333333335,0.5883333333333334,35.475,35.333333333333336,77.83333333333333,53.833333333333336,17.416666666666668,19.5,2.1041666666666665,1.3499999999999999,247.04166666666666,0.5958333333333333,52.708333333333336,76.04166666666667
Winter,145.0,2.408333333333333,0.59875,18.983333333333334,22.5,74.58333333333333,52.0,17.875,20.166666666666668,2.470833333333333,0.9583333333333334,209.875,0.5833333333333334,53.333333333333336,77.125
Winter,72.25,1.5666666666666667,0.6254166666666666,9.029166666666667,9.125,30.166666666666668,20.583333333333332,16.083333333333332,19.166666666666668,3.141666666666667,0.975,256.125,0.6333333333333333,24.416666666666668,35.75
Winter,100.58333333333333,1.3916666666666666,0.54,21.59583333333333,19.166666666666668,50.916666666666664,37.916666666666664,10.641666666666667,12.091666666666667,1.3458333333333332,1.1541666666666666,246.75,0.5625,35.333333333333336,47.958333333333336
