SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,36,,良好,1.7,0.34,18.8,39,17,4,11.3,12.9,1.6,0.4,286,2020-05-23 23:00,,0.2,4,13,2,121.760056,25.129167,1
汐止,新北市,31,,良好,1.5,0.33,24.1,33,21,6,18.2,19.2,0.9,0.8,32,2020-05-23 23:00,,0.3,5,15,1,121.6423,25.067131,2
萬里,新北市,46,,良好,2.2,0.2,21.3,50,12,7,10.2,10.7,0.3,0.9,197,2020-05-23 23:00,,0.1,5,22,2,121.689881,25.179667,3
新店,新北市,24,,良好,1.6,0.37,14.3,26,11,4,15.8,17,1.2,1.0,119,2020-05-23 23:00,,0.4,4,9,2,121.537778,24.977222,4
土城,新北市,29,,良好,1.5,0.55,18.9,31,15,6,21,22,1.1,0.8,163,2020-05-23 23:00,,0.4,5,12,1,121.451861,24.982528,5
板橋,新北市,24,,良好,2.6,0.55,23.5,22,15,7,21.4,22.9,1.4,1.4,94,2020-05-23 23:00,,0.6,7,13,2,121.458667,25.012972,6
新莊,新北市,26,,良好,2.1,0.51,27.8,28,18,10,19.9,22.5,2.6,1.2,66,2020-05-23 23:00,,0.6,8,12,2,121.4325,25.037972,7
菜寮,新北市,23,,良好,2.2,0.43,25.3,25,10,5,15,15.5,0.6,1.9,100,2020-05-23 23:00,,0.5,6,11,2,121.481028,25.06895,8
林口,新北市,31,,良好,1.3,0.37,31.3,34,15,7,14.3,15.4,1,1.6,88,2020-05-23 23:00,,0.4,7,9,2,121.376869,25.077197,9
淡水,新北市,24,,良好,1.6,0.42,14.1,26,20,7,12.5,13,0.5,0.1,0,2020-05-23 23:00,,0.4,6,11,2,121.449239,25.1645,10
士林,臺北市,28,,良好,1.6,0.42,24.2,30,10,7,16.5,17.5,1.1,0.6,285,2020-05-23 23:00,,0.3,4,9,2,121.515389,25.105417,11
中山,臺北市,24,,良好,0.5,0.5,25.8,26,16,7,21.8,22.9,1.1,0.9,109,2020-05-23 23:00,,0.5,6,13,1,121.526528,25.062361,12
萬華,臺北市,26,,良好,0.5,0.39,25.6,28,14,9,20.8,22.1,1.3,1.4,92,2020-05-23 23:00,,0.4,6,12,1,121.507972,25.046503,13
古亭,臺北市,31,,良好,1.7,0.34,33.4,34,10,6,14.8,15.5,0.7,0.6,69,2020-05-23 23:00,,0.3,5,11,2,121.529556,25.020608,14
松山,臺北市,27,,良好,2.5,0.46,23.6,29,21,9,20.9,22.7,1.7,0.6,48,2020-05-23 23:00,,0.4,7,15,2,121.578611,25.05,15
大同,臺北市,32,,良好,1.6,1.09,-,-,16,10,34.1,62.7,28.6,-,-,2020-05-23 23:00,,1,9,15,2,121.513311,25.0632,16
桃園,桃園市,34,,良好,3.7,0.57,16.6,22,21,14,20.8,22.4,1.6,1.1,55,2020-05-23 23:00,,0.5,10,14,3,121.30872222,24.98677778,17
大園,桃園市,37,,良好,3.8,0.27,27.9,40,18,4,17,18.1,1.2,1.7,35,2020-05-23 23:00,,0.2,4,11,2,121.201811,25.060344,18
觀音,桃園市,41,,良好,2.2,0.15,45.8,44,15,4,4.1,4.2,0.3,3.1,63,2020-05-23 23:00,,0.2,4,13,2,121.082761,25.035503,19
平鎮,桃園市,31,,良好,1.8,0.53,20.9,32,23,14,23.8,25,1.3,1.1,57,2020-05-23 23:00,,0.4,10,13,1,121.203986,24.952786,20
龍潭,桃園市,34,,良好,,0.34,31.5,37,15,7,13.6,14.9,1.3,1.8,47,2020-05-23 23:00,,0.3,6,10,2,121.21635,24.863869,21
湖口,新竹縣,33,,良好,2.1,0.36,24.3,36,18,12,13.2,14,0.8,2.4,48,2020-05-23 23:00,,0.3,6,10,2,121.038653,24.900142,22
竹東,新竹縣,27,,良好,2.2,0.29,24.8,29,13,7,8.5,9.8,1.3,0.8,360,2020-05-23 23:00,,0.3,6,11,2,121.088903,24.740644,23
新竹,新竹市,31,,良好,2.4,0.49,21.7,33,15,8,17.9,19.6,1.7,1.9,60,2020-05-23 23:00,,0.4,5,11,1,120.972075,24.805619,24
頭份,苗栗縣,25,,良好,1.3,0.28,22.4,27,15,7,15.7,16.4,0.8,1.1,58,2020-05-23 23:00,,0.3,7,12,1,120.898572,24.696969,25
苗栗,苗栗縣,22,,良好,1.8,0.43,13.2,19,17,7,14.7,17.5,2.8,1.0,9,2020-05-23 23:00,,0.4,7,14,2,120.8202,24.565269,26
三義,苗栗縣,27,,良好,1.3,0.24,22.6,29,11,6,6,6.5,0.3,1.0,39,2020-05-23 23:00,,0.2,5,7,1,120.758833,24.382942,27
