SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,46,,良好,1.6,0.21,47,50.0,24,8,3.1,3.9,0.8,0.8,283.0,2020-05-07 00:00,,0.2,10,20,2,121.760056,25.129167000000002,1
汐止,新北市,44,,良好,1.9,0.21,44,48.0,22,7,9.2,9.6,0.4,1.5,27.0,2020-05-07 00:00,,0.3,8,22,3,121.6423,25.067131,2
萬里,新北市,48,,良好,0.9,0.18,31,52.0,19,9,7.8,8.5,0.7,1.8,222.0,2020-05-07 00:00,,0.2,8,20,1,121.689881,25.179667000000002,3
新店,新北市,34,,良好,1.8,0.24,35,37.0,9,7,8.6,8.8,0.2,0.8,125.0,2020-05-07 00:00,,0.3,9,10,2,121.537778,24.977222,4
中山,臺北市,32,,良好,1.1,0.31,41,35.0,20,8,11.0,12.0,1.1,2.1,124.0,2020-05-07 00:00,,0.5,9,20,2,121.526528,25.062361,12
萬華,臺北市,33,,良好,0.8,0.28,36,32.0,21,11,14.0,15.0,0.7,1.6,97.0,2020-05-07 00:00,,0.4,10,21,1,121.507972,25.046503,13
古亭,臺北市,38,,良好,1.3,0.25,38,41.0,17,8,11.0,13.0,1.6,1.4,92.0,2020-05-07 00:00,,0.3,9,15,2,121.529556,25.020608,14
土城,新北市,35,,良好,1.6,0.28,37,38.0,11,5,10.0,11.0,0.7,1.4,138.0,2020-05-07 00:00,,0.4,8,13,2,121.45186100000001,24.982528,5
板橋,新北市,28,,良好,2.4,0.33,32,29.0,14,6,12.0,14.0,1.2,1.6,127.0,2020-05-07 00:00,,0.5,9,17,3,121.45866699999999,25.012972,6
新莊,新北市,35,,良好,1.7,0.32,38,38.0,15,8,12.0,13.0,0.3,1.4,55.0,2020-05-07 00:00,,0.5,10,17,3,121.4325,25.037972,7
菜寮,新北市,34,,良好,2.3,0.3,32,31.0,20,12,9.2,11.0,1.6,2.6,115.0,2020-05-07 00:00,,0.4,11,19,2,121.48102800000001,25.06895,8
林口,新北市,38,,良好,2.5,0.28,39,32.0,18,9,11.0,11.0,0.2,3.2,125.0,2020-05-07 00:00,,0.4,12,20,3,121.376869,25.077197,9
淡水,新北市,34,,良好,1.1,0.21,42,37.0,14,11,5.4,5.6,0.2,,,2020-05-07 00:00,,0.3,9,15,2,121.44923899999999,25.1645,10
士林,臺北市,41,,良好,2.2,0.18,47,44.0,13,11,4.5,5.2,0.7,2.4,134.0,2020-05-07 00:00,,0.2,8,11,3,121.51538899999998,25.105417000000003,11
松山,臺北市,36,,良好,0.6,0.21,42,39.0,20,10,14.0,28.0,14.0,1.5,48.0,2020-05-07 00:00,,0.3,11,21,1,121.57861100000001,25.05,15
大同,臺北市,35,,良好,1.9,0.88,-,,23,7,25.0,36.0,11.0,,,2020-05-07 00:00,,1.3,11,25,2,121.51331100000002,25.0632,16
桃園,桃園市,37,,良好,3.0,0.31,30,25.0,16,7,9.5,11.0,1.0,1.6,80.0,2020-05-07 00:00,,0.5,12,17,2,121.304383,24.995368,17
金門,金門縣,64,細懸浮微粒,普通,1.8,0.28,38,33.0,36,26,6.5,6.9,0.4,3.4,43.0,2020-05-07 00:00,,0.2,21,33,2,118.312256,24.432133,77
馬公,澎湖縣,18,,良好,2.3,0.15,14,16.0,13,6,1.8,3.9,2.1,3.0,171.0,2020-05-07 00:00,,0.2,6,15,3,119.566158,23.569031,78
關山,臺東縣,33,,良好,1.3,-,41,36.0,0,2,2.5,2.8,0.3,1.0,89.0,2020-05-07 00:00,,,8,15,1,121.161933,23.045082999999998,80
麥寮,雲林縣,31,,良好,1.2,0.18,9.2,13.0,22,8,6.9,9.5,2.6,1.7,207.0,2020-05-07 00:00,,0.2,10,21,1,120.251825,23.753505999999998,83
富貴角,新北市,54,臭氧八小時,普通,0.1,0.13,52,56.0,28,8,0.9,0.7,-0.2,3.6,91.0,2020-05-07 00:00,,0.1,8,24,1,121.536763,25.298562,84
中壢,桃園市,33,,良好,2.3,0.66,28,18.0,11,6,16.0,26.0,9.8,1.2,227.0,2020-05-07 00:00,,1.4,10,18,3,121.221667,24.953278,68
竹山,南投縣,26,,良好,1.8,0.14,4.8,16.0,19,9,11.0,13.0,2.5,1.3,161.0,2020-05-07 00:00,,0.1,8,20,1,120.677306,23.756389000000002,69
永和,新北市,34,,良好,1.7,0.37,35,37.0,18,8,11.0,13.0,1.7,1.2,77.0,2020-05-07 00:00,,0.4,7,16,2,121.516306,25.017,70
復興,高雄市,24,,良好,5.6,0.23,1.7,8.0,14,8,22.0,30.0,7.5,0.7,205.0,2020-05-07 00:00,,0.3,7,17,3,120.312017,22.608711,71
大園,桃園市,40,,良好,5.9,0.36,34,31.0,16,10,14.0,15.0,1.2,1.6,151.0,2020-05-07 00:00,,0.4,12,21,4,121.201811,25.060344,18
觀音,桃園市,43,,良好,2.3,0.24,40,33.0,10,10,6.5,6.7,0.3,2.7,101.0,2020-05-07 00:00,,0.4,13,24,2,121.082761,25.035503,19
平鎮,桃園市,33,,良好,2.4,0.28,40,33.0,10,5,8.7,9.3,0.7,2.3,99.0,2020-05-07 00:00,,0.5,10,20,3,121.20398600000001,24.952786,20
龍潭,桃園市,33,,良好,1.6,0.26,34,30.0,8,4,6.8,7.9,1.1,1.5,71.0,2020-05-07 00:00,,0.4,10,14,2,121.21635,24.863869,21
湖口,新竹縣,48,,良好,2.3,0.23,35,31.0,7,6,7.8,7.8,0.0,2.8,97.0,2020-05-07 00:00,,0.4,15,20,2,121.038653,24.900142000000002,22
竹東,新竹縣,41,,良好,2.0,0.26,21,19.0,11,7,5.6,6.0,0.4,0.9,152.0,2020-05-07 00:00,,0.3,13,17,2,121.088903,24.740644,23
新竹,新竹市,49,,良好,1.3,0.33,26,19.0,13,9,8.0,9.1,1.1,1.5,33.0,2020-05-07 00:00,,0.5,15,28,2,120.972075,24.805619,24
頭份,苗栗縣,50,,良好,2.2,0.33,11,21.0,29,17,17.0,18.0,1.1,1.8,88.0,2020-05-07 00:00,,0.3,15,30,2,120.898572,24.696969,25
苗栗,苗栗縣,30,,良好,2.7,0.24,6.3,14.0,23,10,13.0,14.0,1.5,0.8,271.0,2020-05-07 00:00,,0.2,9,20,2,120.8202,24.565269,26
三義,苗栗縣,30,,良好,-0.4,0.1,11,16.0,12,6,10.0,11.0,0.7,2.4,194.0,2020-05-07 00:00,,0.1,9,17,1,120.75883300000001,24.382942,27
豐原,臺中市,28,,良好,2.0,0.15,13,19.0,19,6,8.0,8.4,0.5,1.6,183.0,2020-05-07 00:00,,0.2,9,20,2,120.74171100000001,24.256586,28
沙鹿,臺中市,31,,良好,3.0,0.21,9.9,17.0,16,9,10.0,11.0,0.5,1.5,185.0,2020-05-07 00:00,,0.2,10,17,3,120.568794,24.225628,29
大里,臺中市,36,,良好,1.4,0.25,5.8,14.0,22,13,11.0,12.0,1.0,1.2,230.0,2020-05-07 00:00,,0.3,11,23,2,120.67768899999999,24.099611,30
忠明,臺中市,33,,良好,1.8,0.22,12,16.0,15,12,7.1,8.2,1.0,1.1,196.0,2020-05-07 00:00,,0.2,10,19,2,120.64109199999999,24.151958,31
西屯,臺中市,33,,良好,1.5,0.2,11,19.0,17,9,11.0,11.0,-0.2,1.3,216.0,2020-05-07 00:00,,0.2,10,20,2,120.61691699999999,24.162197,32
彰化,彰化縣,31,,良好,4.0,0.26,6.7,12.0,24,13,8.0,8.7,0.7,1.3,147.0,2020-05-07 00:00,,0.2,10,20,3,120.541519,24.066,33
線西,彰化縣,36,,良好,1.6,0.22,6.7,18.0,26,14,11.0,11.0,0.6,1.4,201.0,2020-05-07 00:00,,0.2,11,23,2,120.46906100000001,24.131672000000002,34
