SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
臺南(北門),臺南市,11,,良好,0.5,0.05,,11,,1,,,,2.3,256,2020-06-18 11:00,,0.1,3,10,1,120.12444444,23.26472222,310
林口,新北市,24,,良好,,0.05,,26,,,,,,4.5,260,2020-06-18 14:00,,0.1,7,19,,121.376869,25.077197,9
楠梓,高雄市,21,,良好,,0.11,,21,,,,,,,,2020-06-18 14:00,,0.2,6,14,2,120.328289,22.733667,53
湖口,新竹縣,27,,良好,3.1,0.14,13.2,12,5,8,7.1,10.4,3.4,4.1,227,2020-06-18 07:00,,0.2,8,8,3,121.038653,24.900142,22
菜寮,新北市,40,,良好,2.9,0.27,9.5,10,22,9,11.5,17.8,6.3,2.0,261,2020-06-18 07:00,,0.3,12,23,3,121.481028,25.06895,8
林口,新北市,31,,良好,4.1,0.18,8.2,7,13,8,13.1,24.3,11.2,4.1,254,2020-06-18 07:00,,0.2,9,20,,121.376869,25.077197,9
淡水,新北市,28,,良好,3.6,0.12,12.4,6,10,8,6.4,7.9,1.4,,,2020-06-18 07:00,,0.3,8,16,2,121.449239,25.1645,10
士林,臺北市,35,,良好,2.9,0.26,11.2,12,24,14,10.8,17.5,6.7,1.6,306,2020-06-18 07:00,,0.3,11,21,3,121.515389,25.105417,11
中山,臺北市,29,,良好,2.3,0.64,7.6,11,26,8,14,34.7,20.8,1.9,260,2020-06-18 07:00,,0.4,9,23,3,121.526528,25.062361,12
萬華,臺北市,35,,良好,3.6,0.31,10.7,11,16,12,10.6,16.3,5.8,1.4,315,2020-06-18 07:00,,0.3,11,22,3,121.507972,25.046503,13
古亭,臺北市,39,,良好,1.7,0.25,12.5,15,19,16,10.8,14,3.2,2.1,318,2020-06-18 07:00,,0.2,12,23,2,121.529556,25.020608,14
松山,臺北市,38,,良好,3.6,0.23,11.1,12,15,9,10.3,20.7,10.4,2.3,232,2020-06-18 07:00,,0.3,12,21,3,121.578611,25.05,15
大同,臺北市,43,,良好,3,0.52,-,-,18,11,12.6,25.4,12.8,-,-,2020-06-18 07:00,,0.7,13,24,3,121.513311,25.0632,16
桃園,桃園市,37,,良好,2.9,0.19,9,9,18,9,8.7,13.5,4.8,1.1,241,2020-06-18 07:00,,0.2,11,19,3,121.30872222,24.98677778,17
大園,桃園市,15,,良好,3.7,0.18,14.7,12,13,3,7.1,9.5,2.4,4.2,233,2020-06-18 07:00,,0.2,5,13,2,121.201811,25.060344,18
觀音,桃園市,14,,良好,3,0.14,14.1,10,5,5,5.8,7.2,1.4,6.3,244,2020-06-18 07:00,,0.2,4,12,2,121.082761,25.035503,19
平鎮,桃園市,31,,良好,2.4,0.15,11.1,7,12,7,9.5,15,5.5,2.3,242,2020-06-18 07:00,,0.2,10,18,2,121.203986,24.952786,20
龍潭,桃園市,31,,良好,3.2,0.15,14.3,13,13,9,5.9,9.7,3.8,2.6,218,2020-06-18 07:00,,0.2,10,16,2,121.21635,24.863869,21
冬山,宜蘭縣,39,,良好,1.3,0.37,11.9,12,28,12,8.6,15.5,6.9,1.1,259,2020-06-18 07:00,,0.4,12,28,2,121.792928,24.632203,66
