SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
馬公,澎湖縣,84.0,臭氧八小時,普通,0.6,0.17,66,65.0,43.0,13,1.1,1.8,0.7,8.4,21.0,2018-11-01 00:00,,0.2,13.0,40.0,1.0,119.566158,23.569031,
關山,臺東縣,39.0,,良好,2.0,-,42,42.0,15.0,5,1.3,3.7,2.4,3.9,104.0,2018-11-01 00:00,,,6.0,10.0,2.0,121.161933,23.045082999999998,
麥寮,雲林縣,82.0,懸浮微粒,普通,3.5,0.25,40,39.0,51.0,18,10.0,14.0,3.5,4.1,8.7,2018-11-01 00:00,,0.3,20.0,100.0,3.0,120.251825,23.753505999999998,
富貴角,新北市,74.0,臭氧八小時,普通,0.4,0.18,63,62.0,60.0,26,1.4,1.4,-0.1,8.2,103.0,2018-11-01 00:00,,0.2,19.0,53.0,1.0,121.536763,25.298562,
崙背,雲林縣,51.0,懸浮微粒,普通,1.6,0.21,43,37.0,30.0,6,5.3,7.0,1.6,1.2,74.0,2018-11-01 00:00,,0.3,13.0,55.0,2.0,120.34874199999999,23.757547,
基隆,基隆市,58.0,臭氧八小時,普通,1.1,0.21,58,57.0,22.0,12,3.6,3.9,0.3,1.8,74.0,2018-11-01 00:00,,0.2,10.0,19.0,1.0,121.760056,25.129167000000002,
汐止,新北市,44.0,,良好,1.4,0.25,57,47.0,14.0,10,6.8,8.2,1.5,2.3,25.0,2018-11-01 00:00,,0.3,12.0,18.0,2.0,121.6423,25.067131,
萬里,新北市,84.0,臭氧八小時,普通,2.7,0.18,66,65.0,56.0,15,1.3,2.0,0.7,11.0,49.0,2018-11-01 00:00,,0.2,13.0,67.0,3.0,121.689881,25.179667000000002,
新店,新北市,39.0,,良好,0.9,0.25,49,42.0,13.0,9,8.0,8.4,0.4,1.8,118.0,2018-11-01 00:00,,0.4,11.0,25.0,1.0,121.537778,24.977222,
土城,新北市,49.0,,良好,2.3,0.32,49,43.0,17.0,13,10.0,11.0,0.6,1.2,334.0,2018-11-01 00:00,,0.4,15.0,23.0,2.0,121.45186100000001,24.982528,
