SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
汐止,新北市,15,,良好,1.3,0.18,9.6,16.0,8.0,ND,10.0,13.0,3.3,1.4,40.0,2018-09-13 00:00,,0.3,5,15,3,121.6423,25.067131,
萬里,新北市,28,,良好,2.9,0.1,7.7,14.0,8.0,2,2.1,3.2,1.1,2.5,194.0,2018-09-13 00:00,,0.1,9,21,3,121.689881,25.179667000000002,
新店,新北市,27,,良好,2.1,0.23,4,17.0,17.0,2,8.6,12.0,3.8,1.8,181.0,2018-09-13 00:00,,0.3,8,17,2,121.537778,24.977222,
土城,新北市,34,,良好,0.8,0.41,5.6,18.0,34.0,10,16.0,21.0,5.0,1.1,155.0,2018-09-13 00:00,,0.4,10,26,3,121.45186100000001,24.982528,
板橋,新北市,42,,良好,4.6,0.57,6,14.0,29.0,14,24.0,27.0,2.2,1.5,252.0,2018-09-13 00:00,,0.6,13,32,5,121.45866699999999,25.012972,
新莊,新北市,32,,良好,8.6,0.64,2.3,16.0,24.0,13,27.0,37.0,9.4,1.0,174.0,2018-09-13 00:00,,0.5,10,22,5,121.4325,25.037972,
菜寮,新北市,27,,良好,1.6,0.45,3.6,13.0,17.0,4,15.0,21.0,5.2,1.9,183.0,2018-09-13 00:00,,0.5,8,24,3,121.48102800000001,25.06895,
林口,新北市,19,,良好,2.4,0.39,5.5,17.0,22.0,4,18.0,24.0,6.0,2.0,128.0,2018-09-13 00:00,,0.3,6,20,3,121.376869,25.077197,
淡水,新北市,36,,良好,1.1,0.06,13,23.0,14.0,7,0.8,1.7,0.8,,,2018-09-13 00:00,,0.1,11,22,2,121.44923899999999,25.1645,
士林,臺北市,43,,良好,1.4,0.1,13,18.0,16.0,8,3.9,4.8,0.9,1.8,106.0,2018-09-13 00:00,,0.2,13,22,3,121.51538899999998,25.105417000000003,
中山,臺北市,50,,良好,1.7,0.34,4.4,10.0,7.0,14,13.0,20.0,7.2,1.9,133.0,2018-09-13 00:00,,0.5,15,23,3,121.526528,25.062361,
萬華,臺北市,50,,良好,0.9,0.5,0.7,9.0,28.0,15,19.0,36.0,17.0,0.8,165.0,2018-09-13 00:00,,0.5,15,25,2,121.507972,25.046503,
古亭,臺北市,46,,良好,1.8,0.49,2.7,13.0,14.0,6,15.0,26.0,11.0,1.3,174.0,2018-09-13 00:00,,0.4,14,20,2,121.529556,25.020608,
基隆,基隆市,16,,良好,1.3,0.09,13,11.0,3.0,ND,2.4,3.4,1.0,1.6,130.0,2018-09-13 01:00,,0.2,5,10,3,121.760056,25.129167000000002,
汐止,新北市,13,,良好,1.7,0.21,7.5,11.0,10.0,ND,12.0,15.0,3.3,0.6,56.0,2018-09-13 01:00,,0.3,4,13,3,121.6423,25.067131,
