SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,30,,良好,2.8,0.17,6.2,14.0,14,10,8.5,10.0,1.9,1.5,289.0,2018-08-09 06:00,,0.1,9,13,2,121.760056,25.129167000000002,
汐止,新北市,15,,良好,1.1,0.2,6.4,13.0,20,5,12.0,19.0,7.3,1.0,267.0,2018-08-09 06:00,,0.2,5,15,4,121.6423,25.067131,
萬里,新北市,31,,良好,3.4,0.12,10,9.0,15,11,4.5,6.5,2.0,4.2,218.0,2018-08-09 06:00,,0.1,10,17,3,121.689881,25.179667000000002,
新店,新北市,27,,良好,1.1,0.27,10,12.0,24,11,5.2,5.9,0.7,2.2,180.0,2018-08-09 06:00,,0.2,8,18,2,121.537778,24.977222,
土城,新北市,32,,良好,3.6,0.27,3,9.0,21,9,18.0,31.0,12.0,1.2,178.0,2018-08-09 06:00,,0.2,10,19,4,121.45186100000001,24.982528,
土城,新北市,34,,良好,1.9,0.25,15,16.0,13,11,11.0,13.0,1.1,1.2,295.0,2018-08-09 00:00,,0.3,11,16,4,121.45186100000001,24.982528,
板橋,新北市,33,,良好,1.7,0.3,13,14.0,21,5,14.0,16.0,1.9,2.3,90.0,2018-08-09 00:00,,0.4,10,26,3,121.45866699999999,25.012972,
新莊,新北市,44,,良好,1.9,0.26,16,16.0,11,10,12.0,12.0,-0.2,3.2,48.0,2018-08-09 00:00,,0.3,14,17,3,121.4325,25.037972,
菜寮,新北市,43,,良好,1.6,0.22,17,18.0,10,15,8.5,11.0,2.1,2.1,66.0,2018-08-09 00:00,,0.3,13,12,2,121.48102800000001,25.06895,
林口,新北市,29,,良好,0.9,0.17,18,19.0,23,3,9.6,11.0,1.3,2.5,114.0,2018-08-09 00:00,,0.2,6,31,2,121.376869,25.077197,
淡水,新北市,47,,良好,2.9,0.27,9.9,18.0,22,14,9.5,12.0,2.2,,,2018-08-09 00:00,,0.2,14,25,3,121.44923899999999,25.1645,
士林,臺北市,53,細懸浮微粒,普通,5.5,0.12,18,22.0,18,17,9.1,12.0,2.9,1.1,87.0,2018-08-09 00:00,,0.2,16,17,3,121.51538899999998,25.105417000000003,
中山,臺北市,56,細懸浮微粒,普通,1.9,0.35,11,11.0,22,14,14.0,17.0,3.5,1.6,121.0,2018-08-09 00:00,,0.5,18,22,3,121.526528,25.062361,
基隆,基隆市,30,,良好,1.7,0.16,20,23.0,12,8,5.3,6.0,0.7,1.6,78.0,2018-08-09 00:00,,0.2,9,12,2,121.760056,25.129167000000002,
汐止,新北市,19,,良好,1.0,0.19,17,20.0,16,3,9.7,12.0,2.0,1.3,76.0,2018-08-09 00:00,,0.2,4,15,5,121.6423,25.067131,
萬里,新北市,37,,良好,3.3,0.12,7.2,21.0,18,11,7.0,7.9,0.9,3.2,211.0,2018-08-09 00:00,,0.1,11,23,3,121.689881,25.179667000000002,
新店,新北市,33,,良好,1.4,0.19,13,16.0,16,11,9.6,12.0,1.9,1.6,128.0,2018-08-09 00:00,,0.3,10,15,2,121.537778,24.977222,
