SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
新店,新北市,26.0,,良好,1.1,0.27,23,22.0,9.0,5,11.0,13.0,1.1,1.0,67.0,2019-11-30 00:00,,0.4,8.0,18.0,1.0,121.537778,24.977222,4
土城,新北市,27.0,,良好,1.5,0.27,32,29.0,8.0,3,13.0,13.0,-0.2,1.2,341.0,2019-11-30 00:00,,0.4,6.0,19.0,1.0,121.45186100000001,24.982528,5
板橋,新北市,25.0,,良好,2.6,0.29,27,23.0,9.0,5,17.0,18.0,0.9,2.1,71.0,2019-11-30 00:00,,0.4,8.0,20.0,3.0,121.45866699999999,25.012972,6
新莊,新北市,36.0,,良好,4.1,0.28,27,25.0,13.0,8,16.0,17.0,0.9,3.1,75.0,2019-11-30 00:00,,0.4,11.0,25.0,3.0,121.4325,25.037972,7
菜寮,新北市,33.0,,良好,4.6,0.26,24,22.0,7.0,6,16.0,18.0,1.7,3.0,88.0,2019-11-30 00:00,,0.4,10.0,18.0,2.0,121.48102800000001,25.06895,8
林口,新北市,25.0,,良好,2.4,0.22,31,27.0,12.0,7,12.0,13.0,1.0,1.7,81.0,2019-11-30 00:00,,0.3,8.0,19.0,2.0,121.376869,25.077197,9
基隆,基隆市,,,設備維護,,,,,,,,,,,,2019-11-30 00:00,,,,,,121.760056,25.129167000000002,1
汐止,新北市,25.0,,良好,1.8,0.18,37,23.0,7.0,4,7.8,9.0,1.2,1.8,87.0,2019-11-30 00:00,,0.3,8.0,17.0,2.0,121.6423,25.067131,2
萬里,新北市,43.0,,良好,1.9,0.11,47,46.0,28.0,4,1.5,1.9,0.4,3.7,39.0,2019-11-30 00:00,,0.1,10.0,44.0,2.0,121.689881,25.179667000000002,3
淡水,新北市,28.0,,良好,1.4,0.14,39,30.0,7.0,5,2.7,2.9,0.3,,,2019-11-30 00:00,,0.3,8.0,14.0,1.0,121.44923899999999,25.1645,10
汐止,新北市,25.0,,良好,3.0,0.18,34,27.0,8.0,3,7.9,9.0,1.1,1.6,31.0,2019-11-30 02:00,,0.3,6.0,13.0,2.0,121.6423,25.067131,2
萬里,新北市,43.0,,良好,3.4,0.11,45,46.0,20.0,9,1.3,1.7,0.3,4.9,49.0,2019-11-30 02:00,,0.1,8.0,38.0,2.0,121.689881,25.179667000000002,3
