SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,33.0,,良好,1.2,0.35,21,36.0,28,7.0,14.0,16.0,1.6,0.5,276.0,2019-12-15 00:00,,0.3,9.0,27,1,121.760056,25.129167000000002,1
汐止,新北市,35.0,,良好,0.8,0.28,34,34.0,25,11.0,16.0,16.0,0.7,1.9,39.0,2019-12-15 00:00,,0.3,11.0,26,1,121.6423,25.067131,2
萬里,新北市,35.0,,良好,1.3,0.18,34,33.0,19,8.0,6.9,7.9,1.0,2.6,209.0,2019-12-15 00:00,,0.2,11.0,32,1,121.689881,25.179667000000002,3
新店,新北市,34.0,,良好,1.2,0.26,38,37.0,20,5.0,,,,1.7,95.0,2019-12-15 00:00,,0.3,8.0,20,1,121.537778,24.977222,4
土城,新北市,34.0,,良好,1.1,0.35,35,37.0,18,4.0,13.0,13.0,0.7,1.4,346.0,2019-12-15 00:00,,0.4,7.0,22,1,121.45186100000001,24.982528,5
林口,新北市,40.0,,良好,2.7,0.19,43,43.0,21,6.0,8.6,10.0,1.4,4.1,96.0,2019-12-15 00:00,,0.2,9.0,23,3,121.376869,25.077197,9
淡水,新北市,40.0,,良好,1.3,0.23,42,43.0,16,7.0,6.0,6.8,0.8,,,2019-12-15 00:00,,0.2,8.0,17,1,121.44923899999999,25.1645,10
士林,臺北市,45.0,,良好,4.4,0.17,46,49.0,17,4.0,7.5,8.6,1.1,3.3,95.0,2019-12-15 00:00,,0.2,7.0,21,2,121.51538899999998,25.105417000000003,11
中山,臺北市,35.0,,良好,1.8,0.41,30,27.0,20,11.0,21.0,22.0,0.9,2.4,120.0,2019-12-15 00:00,,0.4,11.0,23,3,121.526528,25.062361,12
萬華,臺北市,34.0,,良好,-0.4,0.31,30,30.0,28,9.0,21.0,22.0,1.5,3.1,97.0,2019-12-15 00:00,,0.3,10.0,25,1,121.507972,25.046503,13
古亭,臺北市,35.0,,良好,1.5,0.23,41,38.0,22,8.0,7.9,8.4,0.5,1.4,60.0,2019-12-15 00:00,,0.3,11.0,22,2,121.529556,25.020608,14
松山,臺北市,45.0,,良好,2.2,0.35,31,29.0,26,14.0,17.0,20.0,2.4,1.6,55.0,2019-12-15 00:00,,0.4,14.0,29,2,121.57861100000001,25.05,15
