SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
三重,新北市,36.0,,良好,3.1,1.07,-,,26.0,7,26.0,67.0,41.0,,,2019-06-30 00:00,,1.2,11.0,29.0,3.0,121.493806,25.072611,
基隆,基隆市,39.0,,良好,1.2,0.22,8.4,12.0,22.0,9,12.0,14.0,1.9,1.2,270.0,2019-06-30 00:00,,0.3,12.0,23.0,2.0,121.760056,25.129167000000002,
汐止,新北市,53.0,細懸浮微粒,普通,1.9,0.44,3.8,21.0,38.0,12,14.0,23.0,9.2,1.2,28.0,2019-06-30 00:00,,0.4,16.0,37.0,3.0,121.6423,25.067131,
萬里,新北市,45.0,,良好,1.9,0.21,12,22.0,11.0,11,4.5,5.3,0.8,3.2,214.0,2019-06-30 00:00,,0.2,14.0,12.0,4.0,121.689881,25.179667000000002,
新店,新北市,38.0,,良好,1.2,0.29,14,31.0,20.0,7,8.0,9.8,1.8,1.6,183.0,2019-06-30 00:00,,0.4,12.0,20.0,2.0,121.537778,24.977222,
土城,新北市,59.0,細懸浮微粒,普通,1.4,0.61,3.5,21.0,37.0,13,20.0,25.0,4.4,0.7,206.0,2019-06-30 00:00,,0.6,19.0,36.0,2.0,121.45186100000001,24.982528,
板橋,新北市,52.0,細懸浮微粒,普通,4.1,0.8,6.3,25.0,33.0,13,27.0,32.0,4.8,1.2,137.0,2019-06-30 00:00,,0.7,16.0,29.0,4.0,121.45866699999999,25.012972,
新莊,新北市,52.0,細懸浮微粒,普通,2.7,0.69,2.3,25.0,,16,25.0,29.0,4.2,0.7,235.0,2019-06-30 00:00,,0.5,16.0,,4.0,121.4325,25.037972,
菜寮,新北市,34.0,,良好,2.0,0.66,5.1,22.0,29.0,10,24.0,28.0,3.5,1.8,125.0,2019-06-30 00:00,,0.5,11.0,31.0,2.0,121.48102800000001,25.06895,
林口,新北市,25.0,,良好,3.8,0.45,4.5,25.0,28.0,7,27.0,29.0,2.4,1.8,131.0,2019-06-30 00:00,,0.3,7.0,26.0,2.0,121.376869,25.077197,
淡水,新北市,,,設備維護,,,,,,,,,,,,2019-06-30 00:00,,,,,,121.44923899999999,25.1645,
士林,臺北市,43.0,,良好,1.4,0.48,3.1,21.0,8.0,15,15.0,20.0,5.2,1.6,110.0,2019-06-30 00:00,,0.5,13.0,5.0,2.0,121.51538899999998,25.105417000000003,
中山,臺北市,47.0,,良好,1.7,0.61,9,18.0,30.0,11,21.0,29.0,8.1,1.0,131.0,2019-06-30 00:00,,0.8,15.0,33.0,2.0,121.526528,25.062361,
萬華,臺北市,47.0,,良好,2.1,0.54,7.5,21.0,25.0,10,18.0,24.0,5.1,1.1,143.0,2019-06-30 00:00,,0.6,14.0,27.0,2.0,121.507972,25.046503,
古亭,臺北市,31.0,,良好,2.8,0.37,13,29.0,22.0,3,13.0,14.0,1.2,1.1,165.0,2019-06-30 00:00,,0.4,10.0,21.0,3.0,121.529556,25.020608,
松山,臺北市,46.0,,良好,1.8,0.45,4.6,21.0,,11,16.0,23.0,6.9,1.8,212.0,2019-06-30 00:00,,0.4,14.0,,3.0,121.57861100000001,25.05,
大同,臺北市,42.0,,良好,3.1,2.03,-,,31.0,12,26.0,82.0,56.0,,,2019-06-30 00:00,,1.3,13.0,31.0,3.0,121.51331100000002,25.0632,
桃園,桃園市,58.0,細懸浮微粒,普通,5.6,0.5,5.7,18.0,46.0,12,23.0,24.0,1.1,0.7,178.0,2019-06-30 00:00,,0.3,18.0,33.0,5.0,121.304383,24.995368,
大園,桃園市,25.0,,良好,1.7,0.23,16,24.0,23.0,11,9.2,11.0,1.5,1.2,233.0,2019-06-30 00:00,,0.2,8.0,22.0,2.0,121.201811,25.060344,
觀音,桃園市,29.0,,良好,2.3,0.17,16,26.0,8.0,15,5.6,6.4,0.8,1.8,193.0,2019-06-30 00:00,,0.1,9.0,5.0,2.0,121.082761,25.035503,
平鎮,桃園市,31.0,,良好,3.7,0.32,13,16.0,32.0,11,17.0,18.0,0.9,1.2,120.0,2019-06-30 00:00,,0.3,10.0,32.0,3.0,121.20398600000001,24.952786,
龍潭,桃園市,36.0,,良好,2.3,0.25,15,26.0,30.0,10,8.8,9.4,0.6,1.0,134.0,2019-06-30 00:00,,0.3,11.0,27.0,2.0,121.21635,24.863869,
湖口,新竹縣,34.0,,良好,2.9,0.31,6.5,19.0,27.0,16,17.0,19.0,1.9,1.3,134.0,2019-06-30 00:00,,0.2,11.0,22.0,3.0,121.038653,24.900142000000002,
竹東,新竹縣,29.0,,良好,1.5,0.23,9.3,20.0,11.0,7,4.3,6.0,1.6,1.7,128.0,2019-06-30 00:00,,0.3,9.0,12.0,1.0,121.088903,24.740644,
新竹,新竹市,26.0,,良好,3.1,0.4,8.4,19.0,27.0,8,16.0,17.0,0.9,1.4,179.0,2019-06-30 00:00,,0.4,8.0,24.0,2.0,120.972075,24.805619,
頭份,苗栗縣,53.0,細懸浮微粒,普通,1.2,0.29,11,21.0,,18,10.0,11.0,0.4,1.7,126.0,2019-06-30 00:00,,0.3,16.0,,2.0,120.898572,24.696969,
苗栗,苗栗縣,25.0,,良好,2.0,0.29,9.1,18.0,11.0,4,13.0,14.0,1.3,0.5,336.0,2019-06-30 00:00,,0.3,8.0,13.0,3.0,120.8202,24.565269,
三義,苗栗縣,26.0,,良好,1.7,0.1,23,24.0,11.0,6,1.8,2.4,0.6,1.3,210.0,2019-06-30 00:00,,0.2,8.0,15.0,3.0,120.75883300000001,24.382942,
豐原,臺中市,39.0,,良好,1.3,0.19,17,27.0,18.0,10,4.6,4.8,0.2,1.5,143.0,2019-06-30 00:00,,0.2,12.0,21.0,2.0,120.74171100000001,24.256586,
沙鹿,臺中市,19.0,,良好,3.7,0.26,16,21.0,15.0,4,12.0,14.0,2.1,2.0,173.0,2019-06-30 00:00,,0.3,5.0,18.0,3.0,120.568794,24.225628,
大里,臺中市,23.0,,良好,2.0,0.27,9.4,20.0,17.0,7,10.0,12.0,1.5,0.6,79.0,2019-06-30 00:00,,0.3,7.0,17.0,2.0,120.67768899999999,24.099611,
忠明,臺中市,32.0,,良好,2.0,0.28,14,23.0,8.0,4,9.9,10.0,0.5,1.1,135.0,2019-06-30 00:00,,0.3,10.0,8.0,2.0,120.64109199999999,24.151958,
西屯,臺中市,34.0,,良好,1.3,0.28,9.5,23.0,26.0,7,14.0,15.0,1.1,1.7,176.0,2019-06-30 00:00,,0.2,11.0,26.0,2.0,120.61691699999999,24.162197,
彰化,彰化縣,50.0,,良好,4.0,0.29,14,21.0,4.0,19,8.6,8.9,0.3,1.4,164.0,2019-06-30 00:00,,0.3,15.0,6.0,3.0,120.541519,24.066,
線西,彰化縣,34.0,,良好,1.0,0.28,14,23.0,35.0,13,10.0,11.0,1.2,1.8,208.0,2019-06-30 00:00,,0.2,11.0,29.0,1.0,120.46906100000001,24.131672000000002,
二林,彰化縣,56.0,細懸浮微粒,普通,3.1,0.28,7.3,20.0,36.0,13,8.9,9.7,0.8,1.5,204.0,2019-06-30 00:00,,0.2,18.0,33.0,2.0,120.409653,23.925175,
南投,南投縣,20.0,,良好,1.9,0.2,5.5,14.0,22.0,4,9.7,13.0,3.0,1.6,151.0,2019-06-30 00:00,,0.2,6.0,20.0,2.0,120.68530600000001,23.913,
斗六,雲林縣,26.0,,良好,1.3,0.2,11,19.0,14.0,ND,6.8,8.7,1.9,0.4,188.0,2019-06-30 00:00,,0.3,8.0,13.0,,120.54499399999999,23.711853,
崙背,雲林縣,24.0,,良好,1.5,0.2,13,23.0,3.0,10,7.5,7.9,0.4,1.7,179.0,2019-06-30 00:00,,0.2,7.0,,1.0,120.34874199999999,23.757547,
新港,嘉義縣,33.0,,良好,2.7,0.27,6.7,18.0,39.0,15,12.0,13.0,1.3,1.4,210.0,2019-06-30 00:00,,0.2,10.0,19.0,2.0,120.34553100000001,23.554839,
朴子,嘉義縣,25.0,,良好,1.9,0.28,9.7,18.0,39.0,11,9.2,10.0,1.1,1.6,181.0,2019-06-30 00:00,,0.3,8.0,25.0,2.0,120.24781000000002,23.467123,
