SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
板橋,新北市,29.0,,良好,1.5,0.51,31,26.0,14.0,9,20.0,21.0,0.7,1.4,137.0,2019-05-09 00:00,,0.7,9.0,18.0,2.0,121.45866699999999,25.012972,
新莊,新北市,33.0,,良好,2.1,0.29,43,36.0,9.0,ND,9.8,10.0,0.6,0.5,261.0,2019-05-09 00:00,,0.5,6.0,16.0,2.0,121.4325,25.037972,
菜寮,新北市,29.0,,良好,2.2,0.52,31,31.0,15.0,4,18.0,19.0,0.9,0.8,128.0,2019-05-09 00:00,,0.6,8.0,21.0,2.0,121.48102800000001,25.06895,
基隆,基隆市,44.0,,良好,2.1,0.27,51,48.0,10.0,5,9.4,11.0,1.2,0.8,253.0,2019-05-09 00:00,,0.3,7.0,11.0,2.0,121.760056,25.129167000000002,
汐止,新北市,38.0,,良好,1.9,0.3,45,41.0,4.0,5,14.0,15.0,1.4,1.2,66.0,2019-05-09 00:00,,0.4,4.0,5.0,2.0,121.6423,25.067131,
萬里,新北市,71.0,臭氧八小時,普通,1.1,0.16,59,61.0,8.0,7,4.3,4.3,0.0,1.1,346.0,2019-05-09 00:00,,0.2,4.0,12.0,2.0,121.689881,25.179667000000002,
新店,新北市,40.0,,良好,0.8,0.3,46,43.0,2.0,2,9.9,11.0,0.8,1.5,157.0,2019-05-09 00:00,,0.4,2.0,5.0,1.0,121.537778,24.977222,
土城,新北市,34.0,,良好,1.5,0.33,40,37.0,16.0,6,14.0,14.0,0.2,0.7,56.0,2019-05-09 00:00,,0.5,8.0,20.0,2.0,121.45186100000001,24.982528,
林口,新北市,49.0,,良好,1.0,0.18,54,53.0,12.0,ND,3.4,4.3,0.9,1.6,50.0,2019-05-09 00:00,,0.2,2.0,14.0,1.0,121.376869,25.077197,
淡水,新北市,58.0,臭氧八小時,普通,1.8,0.2,54,57.0,6.0,4,2.6,4.3,1.7,,,2019-05-09 00:00,,0.2,5.0,5.0,2.0,121.44923899999999,25.1645,
