SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,45.0,,良好,2.6,0.26,43,49.0,41.0,15.0,8.7,9.9,1.2,1.3,72.0,2018-09-26 15:00,,0.3,14,39.0,2.0,121.760056,25.129167000000002,
萬里,新北市,87.0,懸浮微粒,普通,,0.15,54,59.0,90.0,21.0,1.5,2.6,1.1,8.7,19.0,2018-09-26 15:00,,0.1,17,106.0,3.0,121.689881,25.179667000000002,
新店,新北市,,,設備維護,1.5,0.46,26,23.0,,28.0,20.0,24.0,3.5,1.1,182.0,2018-09-26 15:00,,0.5,23,,2.0,121.537778,24.977222,
土城,新北市,47.0,,良好,1.8,0.4,30,26.0,36.0,17.0,24.0,28.0,3.7,2.7,344.0,2018-09-26 15:00,,0.4,14,32.0,1.0,121.45186100000001,24.982528,
板橋,新北市,45.0,,良好,2.5,0.36,41,26.0,53.0,12.0,14.0,15.0,1.0,3.7,9.9,2018-09-26 15:00,,0.6,14,35.0,2.0,121.45866699999999,25.012972,
新莊,新北市,55.0,細懸浮微粒,普通,2.4,0.31,34,26.0,53.0,16.0,21.0,26.0,4.8,3.0,57.0,2018-09-26 15:00,,0.6,17,38.0,2.0,121.4325,25.037972,
菜寮,新北市,44.0,,良好,3.0,0.28,35,19.0,42.0,13.0,12.0,13.0,1.2,2.1,2.3,2018-09-26 15:00,,0.8,14,39.0,2.0,121.48102800000001,25.06895,
林口,新北市,41.0,,良好,1.9,0.16,50,44.0,43.0,9.0,8.2,9.7,1.5,4.2,32.0,2018-09-26 15:00,,0.2,8,35.0,2.0,121.376869,25.077197,
淡水,新北市,48.0,,良好,1.4,0.2,47,41.0,49.0,13.0,5.1,5.5,0.4,,,2018-09-26 15:00,,0.2,15,42.0,2.0,121.44923899999999,25.1645,
士林,臺北市,70.0,細懸浮微粒,普通,2.0,0.44,19,18.0,,,22.0,25.0,3.2,0.7,260.0,2018-09-26 15:00,,0.8,23,33.0,2.0,121.51538899999998,25.105417000000003,
中山,臺北市,37.0,,良好,3.0,0.81,19,15.0,28.0,15.0,39.0,55.0,15.0,1.0,249.0,2018-09-26 15:00,,0.9,10,28.0,2.0,121.526528,25.062361,
萬華,臺北市,44.0,,良好,3.9,0.63,26,16.0,39.0,17.0,30.0,34.0,3.8,1.1,23.0,2018-09-26 15:00,,0.8,14,38.0,2.0,121.507972,25.046503,
