SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,61.0,臭氧八小時,普通,1.3,0.32,63,58.0,52.0,20,5.3,5.9,0.7,2.0,72.0,2019-03-05 01:00,,0.4,20.0,41.0,1.0,121.760056,25.129167000000002,
汐止,新北市,48.0,,良好,2.1,0.35,59,52.0,42.0,15,4.7,6.7,2.0,3.8,33.0,2019-03-05 01:00,,0.5,15.0,36.0,2.0,121.6423,25.067131,
萬里,新北市,80.0,臭氧八小時,普通,3.2,0.32,67,64.0,72.0,25,2.3,3.2,0.8,5.3,61.0,2019-03-05 01:00,,0.4,19.0,54.0,3.0,121.689881,25.179667000000002,
新店,新北市,66.0,細懸浮微粒,普通,1.5,0.42,52,50.0,38.0,32,7.2,7.7,0.5,1.9,112.0,2019-03-05 01:00,,0.6,22.0,35.0,2.0,121.537778,24.977222,
土城,新北市,63.0,細懸浮微粒,普通,1.4,0.47,53,50.0,43.0,27,9.8,10.0,0.2,2.2,348.0,2019-03-05 01:00,,0.6,21.0,38.0,2.0,121.45186100000001,24.982528,
板橋,新北市,59.0,細懸浮微粒,普通,1.8,0.4,51,45.0,44.0,20,10.0,11.0,0.6,4.6,67.0,2019-03-05 01:00,,0.6,19.0,40.0,2.0,121.45866699999999,25.012972,
新莊,新北市,54.0,細懸浮微粒,普通,3.5,0.39,55,51.0,57.0,19,8.1,9.9,1.8,5.1,57.0,2019-03-05 01:00,,0.6,17.0,45.0,3.0,121.4325,25.037972,
基隆,基隆市,63.0,細懸浮微粒,普通,1.9,0.36,61,58.0,59.0,24.0,4.3,4.8,0.5,2.9,70.0,2019-03-05 02:00,,0.4,20.0,45.0,1.0,121.760056,25.129167000000002,
汐止,新北市,50.0,,良好,1.1,0.35,60,54.0,52.0,16.0,5.3,5.9,0.6,3.5,37.0,2019-03-05 02:00,,0.5,15.0,39.0,2.0,121.6423,25.067131,
萬里,新北市,80.0,臭氧八小時,普通,1.8,0.36,65,64.0,66.0,29.0,2.3,3.8,1.5,4.1,76.0,2019-03-05 02:00,,0.4,21.0,57.0,3.0,121.689881,25.179667000000002,
新店,新北市,72.0,細懸浮微粒,普通,1.6,0.36,54,51.0,38.0,31.0,5.4,6.1,0.7,2.4,79.0,2019-03-05 02:00,,0.5,24.0,36.0,2.0,121.537778,24.977222,
萬里,新北市,80.0,臭氧八小時,普通,2.3,0.31,65,64.0,59.0,20,2.6,3.5,0.9,7.1,55.0,2019-03-05 00:00,,0.4,18.0,50.0,2.0,121.689881,25.179667000000002,
新店,新北市,59.0,細懸浮微粒,普通,1.4,0.46,51,49.0,38.0,29,8.7,9.3,0.6,2.5,96.0,2019-03-05 00:00,,0.6,19.0,33.0,2.0,121.537778,24.977222,
土城,新北市,60.0,細懸浮微粒,普通,1.6,0.53,51,49.0,42.0,24,11.0,11.0,0.1,2.3,0.2,2019-03-05 00:00,,0.7,19.0,36.0,2.0,121.45186100000001,24.982528,
板橋,新北市,58.0,細懸浮微粒,普通,1.3,0.49,48,44.0,44.0,20,13.0,14.0,1.1,5.2,70.0,2019-03-05 00:00,,0.7,19.0,39.0,2.0,121.45866699999999,25.012972,
基隆,基隆市,60.0,細懸浮微粒,普通,1.1,0.34,59,57.0,42.0,22,5.7,6.4,0.6,2.2,75.0,2019-03-05 00:00,,0.5,19.0,39.0,1.0,121.760056,25.129167000000002,
汐止,新北市,48.0,,良好,1.4,0.4,56,51.0,38.0,17,5.9,8.3,2.4,3.5,36.0,2019-03-05 00:00,,0.5,15.0,34.0,2.0,121.6423,25.067131,
新莊,新北市,52.0,細懸浮微粒,普通,4.4,0.46,52,51.0,49.0,17,10.0,12.0,1.6,4.4,58.0,2019-03-05 00:00,,0.6,16.0,41.0,2.0,121.4325,25.037972,
菜寮,新北市,62.0,細懸浮微粒,普通,4.0,0.48,49,46.0,47.0,23,12.0,13.0,1.1,3.8,76.0,2019-03-05 00:00,,0.6,20.0,39.0,3.0,121.48102800000001,25.06895,
林口,新北市,54.0,細懸浮微粒,普通,2.9,0.4,56,52.0,45.0,23,7.9,9.1,1.3,5.4,94.0,2019-03-05 00:00,,0.5,17.0,38.0,2.0,121.376869,25.077197,
淡水,新北市,50.0,,良好,2.0,0.54,43,50.0,24.0,18,8.3,8.9,0.6,,,2019-03-05 00:00,,0.5,15.0,22.0,2.0,121.44923899999999,25.1645,
士林,臺北市,69.0,細懸浮微粒,普通,0.7,0.37,61,56.0,35.0,26,5.2,6.6,1.4,3.0,83.0,2019-03-05 00:00,,0.5,23.0,34.0,1.0,121.51538899999998,25.105417000000003,
中山,臺北市,61.0,細懸浮微粒,普通,3.6,0.48,47,39.0,51.0,20,17.0,18.0,1.1,3.0,123.0,2019-03-05 00:00,,0.7,20.0,41.0,2.0,121.526528,25.062361,
萬華,臺北市,49.0,,良好,3.1,0.45,47,41.0,44.0,18,13.0,15.0,1.5,3.9,87.0,2019-03-05 00:00,,0.6,15.0,38.0,2.0,121.507972,25.046503,
古亭,臺北市,72.0,細懸浮微粒,普通,1.5,0.48,51,46.0,48.0,25,11.0,12.0,0.8,3.3,91.0,2019-03-05 00:00,,0.6,24.0,42.0,2.0,121.529556,25.020608,
松山,臺北市,58.0,細懸浮微粒,普通,2.2,0.42,50,44.0,42.0,17,12.0,13.0,0.9,2.8,55.0,2019-03-05 00:00,,0.6,18.0,39.0,2.0,121.57861100000001,25.05,
龍潭,桃園市,,,設備維護,,,,,,,,,,,,2019-03-05 00:00,,,,,,121.21635,24.863869,
冬山,宜蘭縣,44.0,,良好,0.8,0.49,44,48.0,25.0,14,3.8,4.2,0.3,0.8,257.0,2019-03-05 00:00,,0.6,13.0,36.0,1.0,121.792928,24.632203,
大同,臺北市,62.0,細懸浮微粒,普通,4.9,0.57,-,,51.0,21,18.0,21.0,2.7,,,2019-03-05 00:00,,0.9,20.0,41.0,3.0,121.51331100000002,25.0632,
桃園,桃園市,57.0,細懸浮微粒,普通,2.8,0.49,41,38.0,43.0,25,8.9,9.7,0.8,3.6,77.0,2019-03-05 00:00,,0.7,18.0,40.0,3.0,121.304383,24.995368,
大園,桃園市,60.0,細懸浮微粒,普通,2.0,0.46,50,47.0,41.0,25,12.0,14.0,1.4,4.6,66.0,2019-03-05 00:00,,0.5,19.0,38.0,2.0,121.201811,25.060344,
觀音,桃園市,73.0,細懸浮微粒,普通,5.4,0.53,42,42.0,43.0,28,13.0,14.0,0.8,4.9,83.0,2019-03-05 00:00,,0.6,25.0,42.0,3.0,121.082761,25.035503,
平鎮,桃園市,62.0,細懸浮微粒,普通,1.9,0.55,48,43.0,46.0,18,12.0,13.0,1.1,3.7,84.0,2019-03-05 00:00,,0.7,20.0,39.0,2.0,121.20398600000001,24.952786,
湖口,新竹縣,,,設備維護,2.0,0.55,47,45.0,35.0,,12.0,12.0,0.8,4.8,62.0,2019-03-05 00:00,,0.6,,35.0,2.0,121.038653,24.900142000000002,
竹東,新竹縣,47.0,,良好,1.3,0.53,26,30.0,30.0,13,8.6,11.0,2.0,2.0,137.0,2019-03-05 00:00,,0.6,15.0,32.0,1.0,121.088903,24.740644,
新竹,新竹市,67.0,細懸浮微粒,普通,1.7,0.57,33,36.0,37.0,24,16.0,16.0,-0.2,1.9,58.0,2019-03-05 00:00,,0.7,22.0,40.0,2.0,120.972075,24.805619,
頭份,苗栗縣,64.0,細懸浮微粒,普通,0.8,0.6,26,33.0,26.0,20,19.0,21.0,1.6,1.7,99.0,2019-03-05 00:00,,0.7,21.0,33.0,2.0,120.898572,24.696969,
苗栗,苗栗縣,70.0,細懸浮微粒,普通,2.4,0.65,16,26.0,33.0,24,19.0,21.0,1.2,1.2,68.0,2019-03-05 00:00,,0.7,23.0,40.0,4.0,120.8202,24.565269,
三義,苗栗縣,62.0,細懸浮微粒,普通,2.4,0.53,7.5,36.0,28.0,19,26.0,31.0,5.3,1.7,15.0,2019-03-05 00:00,,0.6,20.0,34.0,3.0,120.75883300000001,24.382942,
豐原,臺中市,63.0,細懸浮微粒,普通,1.8,0.37,18,34.0,30.0,13,20.0,22.0,1.2,1.7,121.0,2019-03-05 00:00,,0.5,20.0,35.0,2.0,120.74171100000001,24.256586,
沙鹿,臺中市,68.0,細懸浮微粒,普通,3.1,0.71,14,34.0,40.0,25,26.0,27.0,1.0,2.0,340.0,2019-03-05 00:00,,0.7,22.0,44.0,2.0,120.568794,24.225628,
大里,臺中市,71.0,細懸浮微粒,普通,3.3,1.15,0.4,27.0,66.0,29,51.0,62.0,11.0,0.7,108.0,2019-03-05 00:00,,1.1,24.0,65.0,2.0,120.67768899999999,24.099611,
忠明,臺中市,79.0,細懸浮微粒,普通,5.7,1.08,5.1,24.0,57.0,36,44.0,52.0,7.4,1.5,38.0,2019-03-05 00:00,,1.0,27.0,52.0,2.0,120.64109199999999,24.151958,
西屯,臺中市,72.0,細懸浮微粒,普通,2.9,0.83,11,33.0,63.0,35,34.0,36.0,2.2,2.1,32.0,2019-03-05 00:00,,0.8,24.0,63.0,2.0,120.61691699999999,24.162197,
彰化,彰化縣,70.0,細懸浮微粒,普通,1.5,0.73,15,29.0,47.0,25,28.0,29.0,0.7,1.0,353.0,2019-03-05 00:00,,0.9,23.0,52.0,1.0,120.541519,24.066,
線西,彰化縣,69.0,細懸浮微粒,普通,5.7,0.68,18,36.0,48.0,22,26.0,27.0,0.6,2.7,35.0,2019-03-05 00:00,,0.7,23.0,53.0,5.0,120.46906100000001,24.131672000000002,
二林,彰化縣,72.0,細懸浮微粒,普通,5.7,0.89,13,32.0,83.0,30,29.0,30.0,1.0,1.3,346.0,2019-03-05 00:00,,0.7,24.0,81.0,3.0,120.409653,23.925175,
南投,南投縣,92.0,細懸浮微粒,普通,2.9,0.63,13,32.0,61.0,34,20.0,21.0,1.1,1.1,333.0,2019-03-05 00:00,,0.7,32.0,65.0,3.0,120.68530600000001,23.913,
斗六,雲林縣,93.0,細懸浮微粒,普通,2.9,0.68,19,50.0,99.0,42,24.0,27.0,2.3,1.1,3.5,2019-03-05 00:00,,0.7,33.0,80.0,3.0,120.54499399999999,23.711853,
崙背,雲林縣,114.0,細懸浮微粒,對敏感族群不健康,5.4,0.85,16,43.0,74.0,47,24.0,25.0,1.1,1.2,3.9,2019-03-05 00:00,,0.7,41.0,76.0,3.0,120.34874199999999,23.757547,
新港,嘉義縣,77.0,細懸浮微粒,普通,1.9,0.73,19,43.0,99.0,36,16.0,17.0,0.5,1.8,321.0,2019-03-05 00:00,,0.6,26.0,80.0,2.0,120.34553100000001,23.554839,
朴子,嘉義縣,60.0,懸浮微粒,普通,2.9,0.62,31,52.0,91.0,19,10.0,11.0,0.7,1.3,356.0,2019-03-05 00:00,,0.6,18.0,68.0,3.0,120.24781000000002,23.467123,
臺西,雲林縣,93.0,細懸浮微粒,普通,4.4,0.75,28,51.0,69.0,41,17.0,18.0,1.2,3.7,25.0,2019-03-05 00:00,,0.6,33.0,62.0,3.0,120.20284199999999,23.717533,
嘉義,嘉義市,112.0,細懸浮微粒,對敏感族群不健康,3.3,0.8,17,43.0,88.0,38,26.0,27.0,1.2,0.5,291.0,2019-03-05 00:00,,0.8,40.0,76.0,4.0,120.44083300000001,23.462778,
新營,臺南市,94.0,細懸浮微粒,普通,3.4,0.61,26,43.0,78.0,47,23.0,23.0,0.4,1.8,347.0,2019-03-05 00:00,,0.6,33.0,63.0,3.0,120.31725,23.305633,
善化,臺南市,69.0,細懸浮微粒,普通,0.9,0.63,34,53.0,81.0,23,13.0,16.0,2.3,1.4,335.0,2019-03-05 00:00,,0.5,23.0,71.0,2.0,120.297142,23.115097,
安南,臺南市,68.0,細懸浮微粒,普通,2.3,0.69,34,55.0,78.0,18,22.0,22.0,0.0,1.3,325.0,2019-03-05 00:00,,0.6,23.0,66.0,2.0,120.2175,23.048197000000002,
臺南,臺南市,79.0,細懸浮微粒,普通,3.5,0.85,35,53.0,82.0,34,27.0,27.0,0.7,1.4,346.0,2019-03-05 00:00,,0.7,27.0,64.0,3.0,120.20261699999999,22.984581,
美濃,高雄市,56.0,細懸浮微粒,普通,1.7,0.53,29,47.0,59.0,25,8.9,9.2,0.3,0.7,73.0,2019-03-05 00:00,,0.4,18.0,54.0,2.0,120.530542,22.883582999999998,
橋頭,高雄市,101.0,細懸浮微粒,對敏感族群不健康,2.4,0.63,40,51.0,71.0,56,21.0,21.0,0.2,1.1,37.0,2019-03-05 00:00,,0.6,36.0,53.0,2.0,120.30568899999999,22.757506,
仁武,高雄市,60.0,細懸浮微粒,普通,3.3,0.66,35,45.0,60.0,28,25.0,27.0,2.0,1.4,336.0,2019-03-05 00:00,,0.6,19.0,45.0,4.0,120.332631,22.689056,
鳳山,高雄市,44.0,,良好,3.3,0.7,31,43.0,70.0,28,28.0,28.0,0.6,1.2,31.0,2019-03-05 00:00,,0.7,13.0,48.0,4.0,120.35808300000001,22.627392,
大寮,高雄市,74.0,細懸浮微粒,普通,4.6,0.68,21,39.0,70.0,39,30.0,31.0,1.0,1.4,322.0,2019-03-05 00:00,,0.5,25.0,46.0,4.0,120.425081,22.565747,
林園,高雄市,57.0,細懸浮微粒,普通,2.4,0.56,29,56.0,68.0,30,18.0,19.0,1.1,2.4,11.0,2019-03-05 00:00,,0.4,18.0,41.0,4.0,120.41175,22.4795,
楠梓,高雄市,64.0,細懸浮微粒,普通,2.3,0.57,38,44.0,67.0,24,21.0,23.0,1.6,1.4,350.0,2019-03-05 00:00,,0.6,21.0,52.0,2.0,120.32828899999998,22.733667,
左營,高雄市,68.0,細懸浮微粒,普通,2.7,0.7,36,51.0,62.0,35,22.0,22.0,0.5,1.2,355.0,2019-03-05 00:00,,0.5,22.0,47.0,3.0,120.29291699999999,22.674861,
前金,高雄市,58.0,細懸浮微粒,普通,2.5,0.64,38,51.0,72.0,28,19.0,22.0,2.3,1.5,324.0,2019-03-05 00:00,,0.5,18.0,46.0,3.0,120.288086,22.632567,
前鎮,高雄市,48.0,,良好,2.5,0.95,25,42.0,65.0,20,31.0,33.0,2.5,1.8,23.0,2019-03-05 00:00,,0.7,11.0,52.0,3.0,120.30756399999999,22.605386,
小港,高雄市,45.0,,良好,2.8,0.74,21,45.0,52.0,25,35.0,37.0,1.3,1.1,24.0,2019-03-05 00:00,,0.4,14.0,33.0,4.0,120.337736,22.565832999999998,
屏東,屏東縣,57.0,細懸浮微粒,普通,1.9,0.57,35,48.0,60.0,24,19.0,19.0,0.5,0.9,335.0,2019-03-05 00:00,,0.5,18.0,51.0,3.0,120.488033,22.673081,
潮州,屏東縣,53.0,細懸浮微粒,普通,1.0,0.29,34,50.0,26.0,11,6.8,7.0,0.3,0.9,1.9,2019-03-05 00:00,,0.3,16.0,39.0,2.0,120.561175,22.523107999999997,
恆春,屏東縣,51.0,臭氧八小時,普通,1.0,0.38,58,55.0,14.0,5,2.2,2.8,0.6,10.0,38.0,2019-03-05 00:00,,0.3,8.0,18.0,1.0,120.788928,21.958069000000002,
臺東,臺東縣,27.0,,良好,1.0,0.47,32,29.0,5.0,5,2.6,3.6,1.0,2.2,317.0,2019-03-05 00:00,,0.5,7.0,9.0,1.0,121.15045,22.755357999999998,
花蓮,花蓮縣,52.0,細懸浮微粒,普通,1.3,0.5,49,48.0,41.0,18,7.7,8.1,0.4,1.0,357.0,2019-03-05 00:00,,0.6,16.0,36.0,1.0,121.599769,23.971306,
陽明,臺北市,51.0,臭氧八小時,普通,0.6,0.32,57,55.0,10.0,ND,2.1,2.4,0.3,,,2019-03-05 00:00,,0.4,9.0,18.0,1.0,121.529583,25.182722000000002,
