SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
萬里,新北市,67,細懸浮微粒,普通,1.2,0.22,39,47.0,34.0,23,,,,3.8,195.0,2020-03-16 00:00,,0.2,22,51.0,1.0,121.689881,25.179667000000002,3
土城,新北市,57,細懸浮微粒,普通,1.9,0.37,50,54.0,51.0,19,13.0,13.0,0.4,1.4,324.0,2020-03-16 00:00,,0.4,18,51.0,2.0,121.45186100000001,24.982528,5
新莊,新北市,64,細懸浮微粒,普通,1.2,0.39,52,56.0,54.0,19,16.0,18.0,1.5,2.8,68.0,2020-03-16 00:00,,0.4,21,56.0,2.0,121.4325,25.037972,7
菜寮,新北市,65,細懸浮微粒,普通,1.9,0.42,41,43.0,56.0,22,18.0,19.0,0.4,2.0,81.0,2020-03-16 00:00,,0.4,21,54.0,2.0,121.48102800000001,25.06895,8
林口,新北市,74,臭氧八小時,普通,0.9,0.28,63,62.0,58.0,21,9.7,10.0,0.4,3.8,112.0,2020-03-16 00:00,,0.3,21,55.0,1.0,121.376869,25.077197,9
淡水,新北市,54,細懸浮微粒,普通,,0.34,51,54.0,34.0,15,8.9,9.4,0.5,,,2020-03-16 00:00,,0.3,17,42.0,,121.44923899999999,25.1645,10
士林,臺北市,74,臭氧八小時,普通,3.9,0.24,66,62.0,52.0,17,8.0,9.1,1.1,1.5,73.0,2020-03-16 00:00,,0.3,18,52.0,2.0,121.51538899999998,25.105417000000003,11
基隆,基隆市,63,細懸浮微粒,普通,1.0,0.35,31,44.0,43.0,19,13.0,14.0,1.0,0.5,306.0,2020-03-16 00:00,,0.4,20,47.0,1.0,121.760056,25.129167000000002,1
汐止,新北市,67,細懸浮微粒,普通,7.4,0.56,7.9,33.0,42.0,22,30.0,35.0,5.0,1.2,55.0,2020-03-16 00:00,,0.4,22,49.0,4.0,121.6423,25.067131,2
新店,新北市,60,細懸浮微粒,普通,1.4,0.28,53,51.0,44.0,20,8.3,8.6,0.3,2.1,103.0,2020-03-16 00:00,,0.4,19,47.0,2.0,121.537778,24.977222,4
板橋,新北市,62,細懸浮微粒,普通,0.6,0.46,44,48.0,49.0,22,18.0,19.0,0.9,2.0,85.0,2020-03-16 00:00,,0.5,20,53.0,1.0,121.45866699999999,25.012972,6
中山,臺北市,62,細懸浮微粒,普通,1.4,0.44,46,44.0,55.0,21,21.0,22.0,0.7,2.0,121.0,2020-03-16 00:00,,0.5,20,55.0,2.0,121.526528,25.062361,12
大同,臺北市,67,細懸浮微粒,普通,2.1,0.61,-,,55.0,23,35.0,44.0,8.8,,,2020-03-16 00:00,,0.6,22,56.0,2.0,121.51331100000002,25.0632,16
埔里,南投縣,64,細懸浮微粒,普通,2.2,0.46,11,34.0,29.0,21,13.0,13.0,0.8,1.1,306.0,2020-03-16 00:00,,0.4,21,31.0,2.0,120.967903,23.968842000000002,72
馬祖,連江縣,73,細懸浮微粒,普通,0.6,0.28,54,61.0,40.0,24,6.8,7.5,0.7,0.9,342.0,2020-03-16 00:00,,0.3,24,41.0,1.0,119.949875,26.160469,75
