SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
大同,臺北市,45,,良好,2.6,0.56,-,,32.0,14,22.0,32.0,10.0,,,2019-11-21 00:00,,1.0,14,33,3,121.51331100000002,25.0632,16
桃園,桃園市,33,,良好,3.3,0.2,32,26.0,25.0,9,6.8,8.6,1.8,3.5,68.0,2019-11-21 00:00,,0.3,10,25,4,121.304383,24.995368,17
大園,桃園市,32,,良好,2.8,0.18,34,35.0,19.0,9,9.0,12.0,2.8,6.4,65.0,2019-11-21 00:00,,0.2,10,26,3,121.201811,25.060344,18
觀音,桃園市,38,,良好,4.4,0.19,30,35.0,31.0,13,12.0,14.0,2.1,6.6,77.0,2019-11-21 00:00,,0.2,12,32,3,121.082761,25.035503,19
平鎮,桃園市,33,,良好,1.2,0.22,37,31.0,22.0,8,5.9,8.0,2.1,4.9,69.0,2019-11-21 00:00,,0.3,10,24,2,121.20398600000001,24.952786,20
龍潭,桃園市,33,,良好,2.3,0.15,39,36.0,9.0,4,2.9,3.8,0.9,7.4,65.0,2019-11-21 00:00,,0.2,5,9,2,121.21635,24.863869,21
湖口,新竹縣,32,,良好,2.3,0.19,38,34.0,23.0,10,4.6,5.8,1.2,7.7,52.0,2019-11-21 00:00,,0.2,10,24,2,121.038653,24.900142000000002,22
竹東,新竹縣,36,,良好,1.0,0.16,40,39.0,7.0,ND,1.4,3.4,2.0,5.0,38.0,2019-11-21 00:00,,0.2,2,7,1,121.088903,24.740644,23
新竹,新竹市,32,,良好,1.3,0.17,38,33.0,18.0,9,5.0,5.8,0.9,4.0,73.0,2019-11-21 00:00,,0.2,10,35,2,120.972075,24.805619,24
頭份,苗栗縣,32,,良好,0.4,0.16,35,35.0,9.0,3,4.5,5.5,1.0,4.6,73.0,2019-11-21 00:00,,0.2,5,11,0,120.898572,24.696969,25
苗栗,苗栗縣,25,,良好,2.9,0.22,25,27.0,7.0,5,8.4,9.7,1.4,0.8,19.0,2019-11-21 00:00,,0.3,5,9,2,120.8202,24.565269,26
三義,苗栗縣,29,,良好,1.7,0.12,30,31.0,3.0,4,2.5,3.5,0.9,2.4,25.0,2019-11-21 00:00,,0.1,5,10,2,120.75883300000001,24.382942,27
豐原,臺中市,27,,良好,1.8,0.17,29,29.0,10.0,4,3.6,4.2,0.7,0.5,45.0,2019-11-21 00:00,,0.2,7,15,2,120.74171100000001,24.256586,28
沙鹿,臺中市,30,,良好,1.9,0.18,30,32.0,5.0,ND,6.7,6.6,-0.1,1.7,1.5,2019-11-21 00:00,,0.2,4,12,2,120.568794,24.225628,29
大里,臺中市,22,,良好,2.7,0.49,10,17.0,16.0,5,21.0,22.0,1.1,0.6,236.0,2019-11-21 00:00,,0.4,7,20,3,120.67768899999999,24.099611,30
忠明,臺中市,32,,良好,2.6,0.26,23,24.0,9.0,8,12.0,13.0,0.2,1.2,359.0,2019-11-21 00:00,,0.3,10,14,2,120.64109199999999,24.151958,31
大同,臺北市,49.0,,良好,2.3,0.2,-,,26.0,9,9.7,13.0,2.9,,,2019-11-21 05:00,,0.5,15,33.0,3,121.51331100000002,25.0632,16
桃園,桃園市,33.0,,良好,5.3,0.2,31,32.0,23.0,11,4.9,5.7,0.8,3.5,77.0,2019-11-21 05:00,,0.2,10,23.0,4,121.304383,24.995368,17
大園,桃園市,33.0,,良好,1.6,0.15,36,35.0,20.0,10,6.4,6.7,0.3,4.8,62.0,2019-11-21 05:00,,0.2,10,22.0,3,121.201811,25.060344,18
觀音,桃園市,38.0,,良好,4.2,0.23,28,30.0,32.0,9,13.0,14.0,0.9,7.8,78.0,2019-11-21 05:00,,0.2,12,30.0,3,121.082761,25.035503,19
平鎮,桃園市,33.0,,良好,1.9,0.17,36,36.0,25.0,8,4.0,6.4,2.4,5.2,72.0,2019-11-21 05:00,,0.2,9,22.0,2,121.20398600000001,24.952786,20
龍潭,桃園市,36.0,,良好,2.2,0.14,39,39.0,13.0,5,2.4,3.1,0.8,7.3,66.0,2019-11-21 05:00,,0.1,4,7.0,2,121.21635,24.863869,21
湖口,新竹縣,34.0,,良好,1.9,0.18,37,37.0,20.0,10,2.5,3.7,1.3,7.0,54.0,2019-11-21 05:00,,0.2,10,23.0,2,121.038653,24.900142000000002,22
竹東,新竹縣,36.0,,良好,1.3,0.14,37,39.0,9.0,4,2.6,2.8,0.2,1.6,140.0,2019-11-21 05:00,,0.2,3,9.0,1,121.088903,24.740644,23
新竹,新竹市,34.0,,良好,1.7,0.1,37,37.0,21.0,11,4.7,5.1,0.4,4.1,75.0,2019-11-21 05:00,,0.1,8,22.0,2,120.972075,24.805619,24
頭份,苗栗縣,31.0,,良好,0.4,0.18,33,34.0,12.0,10,5.0,6.2,1.2,3.1,75.0,2019-11-21 05:00,,0.2,7,10.0,0,120.898572,24.696969,25
苗栗,苗栗縣,12.0,,良好,2.0,0.18,4.9,13.0,7.0,4,11.0,12.0,0.9,0.4,2.5,2019-11-21 05:00,,0.2,4,6.0,2,120.8202,24.565269,26
三義,苗栗縣,25.0,,良好,1.7,0.14,25,27.0,2.0,3,4.1,5.8,1.7,1.8,33.0,2019-11-21 05:00,,0.1,3,6.0,2,120.75883300000001,24.382942,27
豐原,臺中市,28.0,,良好,1.3,0.23,9.1,19.0,18.0,15,,,,0.7,50.0,2019-11-21 05:00,,0.2,9,16.0,2,120.74171100000001,24.256586,28
