SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,10.0,,良好,1.2,0.06,5.3,7.0,11.0,4,4.3,5.7,1.4,1.6,112.0,2018-07-18 04:00,,0.1,3,9.0,1,121.760056,25.129167000000002,
汐止,新北市,9.0,,良好,2.1,0.07,8.1,10.0,9.0,ND,3.7,5.4,1.7,2.6,31.0,2018-07-18 04:00,,0.1,1,8.0,2,121.6423,25.067131,
萬里,新北市,20.0,,良好,4.4,,7.5,10.0,19.0,2,2.9,3.5,0.7,2.1,68.0,2018-07-18 04:00,,0.1,5,22.0,4,121.689881,25.179667000000002,
新店,新北市,11.0,,良好,1.2,0.08,8,9.0,11.0,5,1.2,2.1,0.9,2.2,128.0,2018-07-18 04:00,,0.1,4,7.0,2,121.537778,24.977222,
土城,新北市,16.0,,良好,1.2,0.08,8,8.0,9.0,6,2.1,2.6,0.5,1.7,316.0,2018-07-18 04:00,,0.1,5,8.0,1,121.45186100000001,24.982528,
板橋,新北市,15.0,,良好,2.0,0.11,7.5,7.0,14.0,ND,2.2,3.1,1.0,2.6,74.0,2018-07-18 04:00,,0.2,3,16.0,2,121.45866699999999,25.012972,
新莊,新北市,9.0,,良好,2.0,0.1,6.3,7.0,7.0,3,4.4,8.4,4.0,4.0,56.0,2018-07-18 04:00,,0.1,3,7.0,2,121.4325,25.037972,
菜寮,新北市,28.0,,良好,1.9,0.09,6.9,7.0,4.0,8,3.1,3.4,0.3,3.3,87.0,2018-07-18 04:00,,0.2,9,7.0,2,121.48102800000001,25.06895,
林口,新北市,7.0,,良好,2.0,0.08,6.6,7.0,11.0,ND,2.1,3.2,1.1,3.4,96.0,2018-07-18 04:00,,0.1,1,8.0,2,121.376869,25.077197,
淡水,新北市,19.0,,良好,1.6,0.04,8,9.0,10.0,11,0.6,2.0,1.4,,,2018-07-18 04:00,,0.1,6,12.0,2,121.44923899999999,25.1645,
