SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,33,,良好,1.2,0.45,6.9,5.0,20,10,17.0,18.0,1.3,0.5,303.0,2020-01-11 03:00,,0.6,10,20,2,121.760056,25.129167000000002,1
汐止,新北市,45,,良好,1.9,0.64,3.7,3.0,16,16,19.0,37.0,18.0,0.7,201.0,2020-01-11 03:00,,0.7,14,19,2,121.6423,25.067131,2
萬里,新北市,40,,良好,2.0,0.3,23,23.0,23,11,7.0,8.1,1.0,3.6,216.0,2020-01-11 03:00,,0.3,12,19,1,121.689881,25.179667000000002,3
新店,新北市,34,,良好,1.4,0.43,5.2,11.0,15,10,18.0,20.0,2.4,0.4,288.0,2020-01-11 03:00,,0.5,11,17,2,121.537778,24.977222,4
土城,新北市,74,細懸浮微粒,普通,1.5,0.56,3.3,8.0,32,23,23.0,31.0,7.5,1.1,167.0,2020-01-11 03:00,,0.7,25,40,2,121.45186100000001,24.982528,5
板橋,新北市,84,細懸浮微粒,普通,4.3,0.85,2,6.0,56,34,31.0,45.0,14.0,2.0,229.0,2020-01-11 03:00,,0.9,29,46,3,121.45866699999999,25.012972,6
新莊,新北市,91,細懸浮微粒,普通,3.4,0.73,2.7,4.0,47,29,31.0,43.0,12.0,1.0,203.0,2020-01-11 03:00,,1.0,32,54,4,121.4325,25.037972,7
菜寮,新北市,55,細懸浮微粒,普通,2.7,0.62,4.6,6.0,33,23,27.0,33.0,5.4,1.6,281.0,2020-01-11 03:00,,0.9,17,28,2,121.48102800000001,25.06895,8
林口,新北市,79,細懸浮微粒,普通,1.8,0.35,20,12.0,36,25,18.0,19.0,1.6,1.4,282.0,2020-01-11 03:00,,0.6,27,42,3,121.376869,25.077197,9
基隆,基隆市,31,,良好,2.1,0.51,2.7,14.0,24,9,22.0,29.0,7.5,0.4,303.0,2020-01-11 00:00,,0.6,10,18,2,121.760056,25.129167000000002,1
桃園,桃園市,70,細懸浮微粒,普通,4.3,0.6,12,21.0,48,35,29.0,31.0,1.8,0.6,202.0,2020-01-11 00:00,,0.5,23,41,4,121.304383,24.995368,17
臺南(麻豆),臺南市,71,細懸浮微粒,普通,0.0,0.08,26,37.0,56,23,12.0,13.0,0.9,0.8,95.0,2020-01-11 00:00,,0.1,24,54,2,,,201
彰化(大城),彰化縣,48,,良好,1.0,0.18,39,52.0,39,15,6.8,7.6,0.8,0.8,70.0,2020-01-11 00:00,,0.2,13,37,2,,,202
