SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
汐止,新北市,30.0,,良好,4.8,0.53,3,18.0,21.0,9,18.0,28.0,9.9,1.1,26.0,2019-05-20 00:00,,0.4,9.0,18.0,3,121.6423,25.067131,
板橋,新北市,30.0,,良好,1.8,0.56,7.3,15.0,33.0,5,21.0,25.0,3.4,0.6,139.0,2019-05-20 00:00,,0.5,9.0,29.0,3,121.45866699999999,25.012972,
新莊,新北市,36.0,,良好,3.0,0.6,2.4,16.0,16.0,9,26.0,33.0,7.6,0.8,251.0,2019-05-20 00:00,,0.5,11.0,19.0,3,121.4325,25.037972,
菜寮,新北市,31.0,,良好,2.6,0.61,4.6,18.0,31.0,9,22.0,27.0,5.3,0.8,54.0,2019-05-20 00:00,,0.5,10.0,30.0,2,121.48102800000001,25.06895,
林口,新北市,26.0,,良好,2.8,0.34,7.7,20.0,28.0,3,17.0,19.0,1.5,1.2,190.0,2019-05-20 00:00,,0.3,4.0,28.0,3,121.376869,25.077197,
淡水,新北市,22.0,,良好,2.5,0.39,9.4,20.0,22.0,7,11.0,14.0,2.6,,,2019-05-20 00:00,,0.3,7.0,24.0,2,121.44923899999999,25.1645,
士林,臺北市,74.0,細懸浮微粒,普通,2.2,0.56,2.5,16.0,35.0,9,19.0,26.0,7.2,1.2,100.0,2019-05-20 00:00,,0.5,25.0,33.0,2,121.51538899999998,25.105417000000003,
基隆,基隆市,41.0,,良好,1.3,0.38,4.6,14.0,32.0,10,15.0,18.0,3.0,0.7,275.0,2019-05-20 00:00,,0.4,13.0,33.0,1,121.760056,25.129167000000002,
萬里,新北市,31.0,,良好,1.1,0.23,9.7,30.0,35.0,3,5.0,6.8,1.9,3.0,208.0,2019-05-20 00:00,,0.3,6.0,34.0,2,121.689881,25.179667000000002,
新店,新北市,36.0,,良好,1.6,0.28,17,20.0,21.0,9,4.7,5.9,1.3,1.6,190.0,2019-05-20 00:00,,0.4,11.0,22.0,2,121.537778,24.977222,
土城,新北市,43.0,,良好,2.4,0.59,2.4,16.0,31.0,11,20.0,27.0,7.4,1.1,204.0,2019-05-20 00:00,,0.5,13.0,32.0,2,121.45186100000001,24.982528,
金門,金門縣,,,設備維護,2.6,0.09,20,26.0,,8,5.3,5.7,0.4,3.9,210.0,2019-05-20 00:00,,0.1,11.0,,3,118.312256,24.432133,
馬公,澎湖縣,26.0,,良好,0.9,0.11,17,16.0,19.0,8,1.7,5.0,3.3,3.5,167.0,2019-05-20 00:00,,0.2,8.0,24.0,2,119.566158,23.569031,
關山,臺東縣,32.0,,良好,1.2,-,7.3,17.0,25.0,9,2.8,3.9,1.1,0.7,243.0,2019-05-20 00:00,,,10.0,26.0,1,121.161933,23.045082999999998,
