SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
麥寮,雲林縣,77.0,懸浮微粒,普通,2.1,0.25,44,48.0,70.0,23.0,7.1,7.2,0.1,2.6,2.7,2019-01-29 22:00,,0.2,26.0,92.0,2.0,120.251825,23.753505999999998,
富貴角,新北市,44.0,,良好,4.1,0.18,41,48.0,23.0,12.0,5.8,5.9,0.1,7.0,99.0,2019-01-29 22:00,,0.2,13.0,26.0,1.0,121.536763,25.298562,
臺南(玉井),臺南市,88.0,細懸浮微粒,普通,1.5,0.11,27,52.0,66.0,27.0,6.2,7.5,1.3,0.2,125.0,2019-01-29 22:00,,0.2,31.0,72.0,2.0,,,
彰化(大城),彰化縣,80.0,臭氧八小時,普通,1.5,0.22,59,64.0,43.0,24.0,5.9,6.8,0.9,2.2,356.0,2019-01-29 22:00,,0.2,23.0,40.0,2.0,,,
屏東(琉球),屏東縣,87.0,細懸浮微粒,普通,2.2,0.29,52,65.0,44.0,23.0,8.9,9.2,0.3,0.5,314.0,2019-01-29 22:00,,0.4,30.0,48.0,3.0,,,
永和,新北市,39.0,,良好,0.6,0.64,28,35.0,18.0,14.0,22.0,27.0,5.5,1.3,99.0,2019-01-29 22:00,,0.5,12.0,21.0,1.0,121.516306,25.017,
馬公,澎湖縣,64.0,細懸浮微粒,普通,1.1,0.34,35,38.0,42.0,22.0,7.3,9.7,2.3,3.8,21.0,2019-01-29 22:00,,0.3,21.0,43.0,1.0,119.566158,23.569031,
關山,臺東縣,29.0,,良好,1.9,-,23,31.0,18.0,10.0,3.1,3.6,0.5,0.5,194.0,2019-01-29 22:00,,,9.0,20.0,2.0,121.161933,23.045082999999998,
新莊,新北市,32.0,,良好,2.1,0.56,24,34.0,26.0,9.0,26.0,28.0,1.9,3.0,36.0,2019-01-29 22:00,,0.4,10.0,26.0,2.0,121.4325,25.037972,
菜寮,新北市,34.0,,良好,1.5,0.49,29,31.0,21.0,9.0,21.0,22.0,1.0,2.8,81.0,2019-01-29 22:00,,0.5,11.0,25.0,2.0,121.48102800000001,25.06895,
林口,新北市,36.0,,良好,2.2,0.31,40,39.0,21.0,8.0,12.0,14.0,1.2,3.4,110.0,2019-01-29 22:00,,0.3,9.0,25.0,3.0,121.376869,25.077197,
