SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,14,,良好,0.5,0.1,18.4,15,5,1,1.1,2.8,1.7,1.9,125,2020-08-01 13:00,,0.1,1,9,1,121.760056,25.129167,1
汐止,新北市,12,,良好,1.8,0.18,18.6,13,14,1,2.9,8.8,5.9,2.0,179,2020-08-01 13:00,,0.2,2,7,2,121.6423,25.067131,2
基隆,基隆市,15,,良好,0.5,0.21,10.7,16,13,4,6.3,11.5,5.2,0.9,275,2020-08-01 21:00,,0.1,2,12,1,121.760056,25.129167,1
萬里,新北市,11,,良好,3,0.05,1.3,12,5,2,1.7,4.1,2.4,6.8,103,2020-08-01 13:00,,0.1,2,5,2,121.689881,25.179667,3
新店,新北市,13,,良好,1.5,0.05,20.2,14,5,5,1.6,3.7,2,6.2,156,2020-08-01 13:00,,0.2,4,7,2,121.537778,24.977222,4
汐止,新北市,14,,良好,1.8,0.37,6.8,15,13,5,11.8,22.6,10.8,1.4,32,2020-08-01 21:00,,0.2,3,7,2,121.6423,25.067131,2
萬里,新北市,10,,良好,2.9,0.15,7.2,7,5,2,7.1,11.7,4.6,2.7,208,2020-08-01 21:00,,0.1,3,5,2,121.689881,25.179667,3
新店,新北市,16,,良好,1.3,0.18,11.2,16,5,6,6.2,8.3,2.1,2.5,180,2020-08-01 21:00,,0.1,5,8,2,121.537778,24.977222,4
土城,新北市,16,,良好,1.8,0.29,14.9,16,20,6,15.2,17.1,2,1.5,145,2020-08-01 21:00,,0.2,5,16,2,121.451861,24.982528,5
板橋,新北市,14,,良好,2.2,0.32,9.2,14,14,6,14.9,20.8,5.9,2.0,154,2020-08-01 21:00,,0.2,3,12,2,121.458667,25.012972,6
新莊,新北市,18,,良好,1.4,0.3,15.2,19,16,8,10.9,12.2,1.3,1.3,116,2020-08-01 21:00,,0.2,5,16,1,121.4325,25.037972,7
菜寮,新北市,14,,良好,0.5,0.26,10.3,15,5,4,8.8,11.2,2.4,2.6,107,2020-08-01 21:00,,0.3,4,11,1,121.481028,25.06895,8
竹東,新竹縣,82,細懸浮微粒,普通,2.3,0.31,14,24,43,25,6.1,7.7,1.6,1.2,118,2020-08-01 07:00,,0.3,28,44,2,121.088903,24.740644,23
林口,新北市,10,,良好,1.8,0.17,6,7,11,6,8.4,14.9,6.6,2.8,127,2020-08-01 07:00,,0.1,3,7,2,121.376869,25.077197,9
淡水,新北市,10,,良好,1.4,0.05,10.5,11,5,1,2.3,3.5,1.2,2,160,2020-08-01 07:00,,0.1,3,5,2,121.449239,25.1645,10
士林,臺北市,11,,良好,1.9,0.05,12.1,12,10,3,3.5,6.7,3.2,2.6,90,2020-08-01 07:00,,0.1,3,7,2,121.515389,25.105417,11
中山,臺北市,8,,良好,1.4,0.28,6,8,11,1,8.2,17,8.8,2.2,120,2020-08-01 07:00,,0.2,1,8,1,121.526528,25.062361,12
萬華,臺北市,8,,良好,2.8,0.19,7.2,8,11,4,7.5,16.5,9,1.6,95,2020-08-01 07:00,,0.1,2,8,2,121.507972,25.046503,13
古亭,臺北市,9,,良好,1.3,0.14,8.6,10,5,3,4.4,7.8,3.4,1.6,92,2020-08-01 07:00,,0.1,2,5,2,121.529556,25.020608,14
松山,臺北市,11,,良好,1.8,0.05,9.6,11,5,3,5.6,9.7,4.2,2.3,40,2020-08-01 07:00,,0.1,3,6,2,121.578611,25.05,15
大同,臺北市,10,,良好,1.8,0.41,-,-,14,2,11.1,36.4,25.3,-,-,2020-08-01 07:00,,0.5,3,9,2,121.513311,25.0632,16
桃園,桃園市,19,,良好,10.3,0.29,5.4,4,12,5,8.7,15.2,6.5,1.1,86,2020-08-01 07:00,,0.3,6,14,6,121.30872222,24.98677778,17
大園,桃園市,29,,良好,4.7,0.21,6.7,4,17,11,9.3,14.9,5.6,1.4,167,2020-08-01 07:00,,0.2,9,16,4,121.201811,25.060344,18
觀音,桃園市,69,細懸浮微粒,普通,5.1,0.31,10.3,40,32,19,12.8,16.3,3.6,1.8,103,2020-08-01 07:00,,0.3,23,37,4,121.082761,25.035503,19
平鎮,桃園市,50,,良好,3.3,0.3,8.6,9,25,12,10.7,17.6,6.9,1.1,105,2020-08-01 07:00,,0.3,15,26,4,121.203986,24.952786,20
龍潭,桃園市,59,細懸浮微粒,普通,2.8,0.28,17.1,25,31,20,10.8,13.5,2.7,0.8,171,2020-08-01 07:00,,0.3,19,29,3,121.21635,24.863869,21
湖口,新竹縣,115,細懸浮微粒,對敏感族群不健康,1.4,0.38,21.1,41,46,37,17.3,19.7,2.4,0.7,219,2020-08-01 07:00,,0.4,41,49,2,121.038653,24.900142,22
大寮,高雄市,85,細懸浮微粒,普通,4.5,0.43,7.9,10,53,38,19.1,25.2,6,1.5,66,2020-08-01 07:00,,0.4,30,42,3,120.425311,22.56413611,51
林園,高雄市,55,細懸浮微粒,普通,1.1,0.21,9,13,36,9,5.9,8.3,2.4,2.3,33,2020-08-01 07:00,,0.2,17,44,3,120.41175,22.4795,52
楠梓,高雄市,62,細懸浮微粒,普通,1.4,0.41,9.8,14,36,25,16.4,21.4,5,0.8,340,2020-08-01 07:00,,0.3,20,37,2,120.328289,22.733667,53
左營,高雄市,66,細懸浮微粒,普通,3.6,0.66,6.6,14,49,28,20.5,30.2,9.7,1.5,28,2020-08-01 07:00,,0.4,22,38,4,120.292917,22.674861,54
前金,高雄市,53,細懸浮微粒,普通,3.6,0.47,18.5,22,34,11,14.3,16.2,1.9,1.4,342,2020-08-01 07:00,,0.4,16,34,4,120.288086,22.632567,56
前鎮,高雄市,69,細懸浮微粒,普通,2.6,0.83,6.2,14,51,36,21.1,27.2,6.1,1.1,23,2020-08-01 07:00,,0.5,23,40,2,120.307564,22.605386,57
小港,高雄市,76,細懸浮微粒,普通,1.8,0.55,5.9,14,45,26,16.1,25.8,9.7,0.8,42,2020-08-01 07:00,,0.5,26,42,2,120.337736,22.565833,58
屏東,屏東縣,84,細懸浮微粒,普通,1.6,0.35,13.8,19,40,23,9.6,12.6,3,1.4,354,2020-08-01 07:00,,0.5,29,51,2,120.488033,22.673081,59
潮州,屏東縣,67,細懸浮微粒,普通,1.9,0.3,11.5,14,47,23,4.5,5.7,1.1,1.1,49,2020-08-01 07:00,,0.2,22,43,2,120.561175,22.523108,60
恆春,屏東縣,15,,良好,0.5,0.05,16.8,16,5,2,0.3,1.1,0.9,7.0,41,2020-08-01 07:00,,0.1,2,7,1,120.788928,21.958069,61
臺東,臺東縣,14,,良好,1,0.14,9.9,7,11,2,1.9,3.2,1.4,1.8,316,2020-08-01 07:00,,0.1,3,15,1,121.15045,22.755358,62
花蓮,花蓮縣,16,,良好,1.5,0.11,6,6,17,4,0.9,3.3,2.4,2.5,193,2020-08-01 07:00,,0.1,3,17,1,121.599769,23.971306,63
陽明,臺北市,10,,良好,1.6,0.05,11.1,11,5,1,0.7,1.3,0.6,5.1,190,2020-08-01 07:00,,0.1,1,5,2,121.529583,25.182722,64
宜蘭,宜蘭縣,13,,良好,1.5,0.16,5.5,5,16,5,,,,1.2,4,2020-08-01 07:00,,0.1,3,14,2,121.746394,24.747917,65
臺南(麻豆),臺南市,11,,良好,1.5,0.46,2.4,11,,,12.1,22.3,10.2,0.7,149,2020-08-01 07:00,,0.3,,,1,120.24583056,23.17904722,203
屏東(琉球),屏東縣,16,,良好,1.6,0.2,22.1,15,28,15,3.4,4.5,1.1,1.6,116,2020-08-01 07:00,,0.1,5,13,1,120.37722,22.35222,204
臺南(北門),臺南市,46,,良好,0.5,0.23,18.5,29,43,23,7.9,9.4,1.5,1.1,147,2020-08-01 07:00,,0.1,14,30,1,120.12444444,23.26472222,310
新北(樹林),新北市,33,,良好,0.5,0.29,7.5,8,-,15,9.9,15.9,6,0.2,96,2020-08-01 07:00,,0.2,10,-,1,121.38352778,24.94902778,311
基隆,基隆市,11,,良好,0.5,0.05,12.1,12,5,1,0.8,1.8,0.9,1.5,77,2020-08-01 06:00,,0.1,2,7,1,121.760056,25.129167,1
汐止,新北市,11,,良好,2,0.23,5.3,10,14,4,8.7,24.7,16,0.9,9,2020-08-01 06:00,,0.1,3,7,1,121.6423,25.067131,2
萬里,新北市,13,,良好,2.5,0.05,12.7,14,5,3,1.4,2.8,1.4,2.8,174,2020-08-01 06:00,,0.1,3,5,2,121.689881,25.179667,3
新店,新北市,8,,良好,1.7,0.17,6.5,9,5,3,4.6,5.9,1.3,1.4,195,2020-08-01 06:00,,0.1,3,6,2,121.537778,24.977222,4
土城,新北市,12,,良好,2,0.3,2.7,5,15,5,12.7,27.5,14.8,1.2,154,2020-08-01 06:00,,0.2,2,12,2,121.451861,24.982528,5
板橋,新北市,12,,良好,2,0.15,6,7,11,4,7.3,10.9,3.6,1.4,82,2020-08-01 06:00,,0.2,4,9,2,121.458667,25.012972,6
新莊,新北市,19,,良好,1.2,0.19,5.5,7,20,7,8.3,11.8,3.5,1.9,86,2020-08-01 06:00,,0.2,6,15,2,121.4325,25.037972,7
菜寮,新北市,12,,良好,1.2,0.21,7,8,5,4,7.1,9.3,2.2,2.1,99,2020-08-01 06:00,,0.2,4,9,2,121.481028,25.06895,8
林口,新北市,9,,良好,1.7,0.11,6.7,7,5,2,7.9,9.9,2,2.4,119,2020-08-01 06:00,,0.1,3,7,2,121.376869,25.077197,9
淡水,新北市,11,,良好,1.3,0.05,11,11,5,3,1.5,2.4,0.8,1.8,160,2020-08-01 06:00,,0.1,4,5,2,121.449239,25.1645,10
頭份,苗栗縣,,,,0.5,0.22,14,,29,17,9.2,10.8,1.6,1.2,130,2020-08-01 06:00,,,,,,120.898572,24.696969,25
苗栗,苗栗縣,68,細懸浮微粒,普通,2,0.26,9.5,18,28,20,11.3,12.4,1.1,0.5,6,2020-08-01 06:00,,0.3,23,34,3,120.8202,24.565269,26
三義,苗栗縣,40,,良好,1.8,0.05,18.3,21,16,8,4.9,5.7,0.8,1.0,191,2020-08-01 06:00,,0.1,12,23,2,120.758833,24.382942,27
豐原,臺中市,29,,良好,0.5,0.22,14.4,12,20,8,7.8,9.8,2,1.5,107,2020-08-01 06:00,,0.3,9,21,1,120.741711,24.256586,28
沙鹿,臺中市,37,,良好,0.5,0.23,18.2,16,22,9,10.4,11.4,1,1.0,176,2020-08-01 06:00,,0.3,12,22,2,120.568794,24.225628,29
大里,臺中市,37,,良好,3.1,0.27,7.5,11,30,12,10.2,11.3,1.1,0.8,260,2020-08-01 06:00,,0.3,12,28,4,120.677689,24.099611,30
忠明,臺中市,37,,良好,1.5,0.24,20.3,22,20,12,7.9,9,1.2,1.0,200,2020-08-01 06:00,,0.3,12,24,4,120.641092,24.151958,31
西屯,臺中市,47,,良好,1.8,0.21,11.3,11,24,17,9.9,10.7,0.8,1.2,208,2020-08-01 06:00,,0.3,14,28,4,120.616917,24.162197,32
彰化,彰化縣,41,,良好,3.6,0.21,19.7,21,21,11,,,,0.5,284,2020-08-01 06:00,,0.2,13,23,2,120.541519,24.066,33
線西,彰化縣,50,,良好,1.9,0.25,9.5,20,32,13,9.5,11.2,1.7,1.2,105,2020-08-01 06:00,,0.2,15,39,2,120.469061,24.131672,34
二林,彰化縣,75,細懸浮微粒,普通,3.6,0.22,5.8,10,50,29,11.6,13.3,1.7,0.6,191,2020-08-01 06:00,,0.2,25,47,3,120.409653,23.925175,35
南投,南投縣,34,,良好,2,0.31,6.3,12,30,10,6.6,7.9,1.3,0.8,86,2020-08-01 06:00,,0.3,10,28,2,120.685306,23.913,36
斗六,雲林縣,33,,良好,1.7,0.17,16.5,23,27,11,6.5,7.3,0.8,0.9,98,2020-08-01 06:00,,0.2,10,27,1,120.544994,23.711853,37
崙背,雲林縣,60,細懸浮微粒,普通,1.7,0.24,8.4,14,48,19,11.9,14,2.2,0.4,227,2020-08-01 06:00,,0.2,19,43,2,120.348742,23.757547,38
楠梓,高雄市,60,細懸浮微粒,普通,1.4,0.34,6.9,15,32,14,17,20.7,3.6,1.1,74,2020-08-01 06:00,,0.3,19,38,2,120.328289,22.733667,53
左營,高雄市,64,細懸浮微粒,普通,3.5,0.39,6.4,17,35,20,16.4,19.8,3.4,1.3,29,2020-08-01 06:00,,0.4,21,36,4,120.292917,22.674861,54
前金,高雄市,56,細懸浮微粒,普通,3.6,0.36,21.7,24,33,12,12.3,13.6,1.3,0.8,346,2020-08-01 06:00,,0.3,18,34,4,120.288086,22.632567,56
前鎮,高雄市,64,細懸浮微粒,普通,2.6,0.64,4.8,17,40,21,20.3,24.2,3.9,0.5,150,2020-08-01 06:00,,0.5,21,39,2,120.307564,22.605386,57
小港,高雄市,81,細懸浮微粒,普通,1.2,0.48,5.8,17,42,28,16.2,19.8,3.6,0.9,36,2020-08-01 06:00,,0.5,28,45,2,120.337736,22.565833,58
屏東,屏東縣,88,細懸浮微粒,普通,1.6,0.42,11,21,52,28,11.9,14.1,2.2,0.9,333,2020-08-01 06:00,,0.5,31,55,2,120.488033,22.673081,59
潮州,屏東縣,65,細懸浮微粒,普通,1.8,0.24,10.6,15,38,16,3.9,4.5,0.5,1.2,311,2020-08-01 06:00,,0.2,21,42,2,120.561175,22.523108,60
恆春,屏東縣,15,,良好,0.5,0.05,19.5,16,10,3,0.3,1.1,0.8,4.7,42,2020-08-01 06:00,,0.1,3,7,1,120.788928,21.958069,61
臺東,臺東縣,15,,良好,1,0.13,12.1,6,5,2,1.7,2.1,0.3,1.5,321,2020-08-01 06:00,,0.1,3,16,1,121.15045,22.755358,62
花蓮,花蓮縣,16,,良好,1.5,0.05,5.5,6,19,4,1.3,2.3,1,2.4,203,2020-08-01 06:00,,0.1,3,17,1,121.599769,23.971306,63
陽明,臺北市,10,,良好,1.4,0.05,10.7,11,5,1,0.8,1.3,0.6,4.3,190,2020-08-01 06:00,,0.1,2,5,1,121.529583,25.182722,64
宜蘭,宜蘭縣,12,,良好,1.4,0.11,4,6,17,3,,,,0.9,342,2020-08-01 06:00,,0.1,3,13,2,121.746394,24.747917,65
冬山,宜蘭縣,14,,良好,3.1,0.14,3.9,6,17,6,6.1,10.7,4.7,1.5,300,2020-08-01 06:00,,0.1,4,12,2,121.792928,24.632203,66
三重,新北市,15,,良好,1.6,0.48,-,-,17,5,11,49.2,38.2,-,-,2020-08-01 06:00,,0.5,4,13,2,121.493806,25.072611,67
臺南(北門),臺南市,37,,良好,0.5,0.23,11.7,32,40,21,11.1,12.1,0.9,0.1,142,2020-08-01 06:00,,0.1,12,26,1,120.12444444,23.26472222,310
新北(樹林),新北市,30,,良好,0.5,0.26,6.1,8,-,15,8.9,15.6,6.7,0.2,93,2020-08-01 06:00,,0.2,9,-,1,121.38352778,24.94902778,311
基隆,基隆市,11,,良好,0.5,0.05,12.3,12,5,1,0.9,1.7,0.8,1.8,124,2020-08-01 05:00,,0.1,2,8,1,121.760056,25.129167,1
汐止,新北市,11,,良好,1.8,0.16,4.9,12,5,2,8.4,17.9,9.5,1.2,38,2020-08-01 05:00,,0.1,3,5,1,121.6423,25.067131,2
萬里,新北市,13,,良好,2.6,0.05,12.4,14,5,2,1.4,2.8,1.4,2.2,163,2020-08-01 05:00,,0.1,3,5,2,121.689881,25.179667,3
新店,新北市,9,,良好,1.7,0.13,,9,5,2,4,5.1,1.2,1.6,189,2020-08-01 05:00,,0.1,3,6,2,121.537778,24.977222,4
土城,新北市,11,,良好,1.9,0.2,2.9,6,11,2,11.5,16.3,4.8,1.0,152,2020-08-01 05:00,,0.2,2,12,2,121.451861,24.982528,5
板橋,新北市,12,,良好,2,0.12,6.8,7,12,4,5.4,7.5,2.2,1.4,57,2020-08-01 05:00,,0.2,4,9,2,121.458667,25.012972,6
新莊,新北市,18,,良好,1.2,0.15,7.1,7,16,9,6.7,8.1,1.4,1.8,69,2020-08-01 05:00,,0.2,6,15,2,121.4325,25.037972,7
菜寮,新北市,11,,良好,1.2,0.17,7.6,8,12,3,5.8,7.6,1.7,1.5,57,2020-08-01 05:00,,0.2,4,11,2,121.481028,25.06895,8
林口,新北市,10,,良好,1.6,0.1,6.5,7,5,1,6.9,7.9,1,2.4,124,2020-08-01 05:00,,0.1,3,8,2,121.376869,25.077197,9
淡水,新北市,12,,良好,1,0.05,11.7,11,5,5,1.4,2.2,0.9,2,160,2020-08-01 05:00,,0.1,4,5,2,121.449239,25.1645,10
士林,臺北市,10,,良好,1.8,0.05,11,11,5,2,3.8,6,2.1,1.9,96,2020-08-01 05:00,,0.1,3,7,2,121.515389,25.105417,11
中山,臺北市,7,,良好,1.1,0.18,7.9,8,13,1,5.8,8.9,3.1,1.6,105,2020-08-01 05:00,,0.2,2,8,1,121.526528,25.062361,12
萬華,臺北市,7,,良好,2.5,0.12,8.1,8,5,1,6.1,9.2,3.1,1.2,98,2020-08-01 05:00,,0.2,2,7,1,121.507972,25.046503,13
豐原,臺中市,30,,良好,1.2,0.18,15.5,12,15,6,7.3,8.9,1.6,0.9,110,2020-08-01 05:00,,0.3,9,21,1,120.741711,24.256586,28
沙鹿,臺中市,38,,良好,0.5,0.2,17.3,17,15,9,10.9,12.1,1.2,1.7,153,2020-08-01 05:00,,0.3,12,23,2,120.568794,24.225628,29
大里,臺中市,37,,良好,3.3,0.23,8.9,11,26,13,8.8,9.5,0.7,0.9,104,2020-08-01 05:00,,0.3,11,27,4,120.677689,24.099611,30
忠明,臺中市,36,,良好,1.7,0.23,19.7,22,21,11,9,10.2,1.2,1.2,205,2020-08-01 05:00,,0.3,11,24,,120.641092,24.151958,31
西屯,臺中市,43,,良好,1.8,0.2,10.4,12,27,11,11.6,12.4,0.7,1.8,188,2020-08-01 05:00,,0.3,13,28,4,120.616917,24.162197,32
彰化,彰化縣,42,,良好,4.6,0.18,21.5,21,23,11,,,,0.8,187,2020-08-01 05:00,,0.2,13,23,2,120.541519,24.066,33
線西,彰化縣,52,細懸浮微粒,普通,2.2,0.22,13.7,22,33,12,8.9,9.7,0.9,1.4,135,2020-08-01 05:00,,0.2,16,42,2,120.469061,24.131672,34
二林,彰化縣,72,細懸浮微粒,普通,3.3,0.19,7.9,13,36,12,9.6,11.2,1.6,1.4,151,2020-08-01 05:00,,0.2,24,45,3,120.409653,23.925175,35
南投,南投縣,34,,良好,2,0.27,9.2,13,29,10,5.6,6.2,0.7,1.4,199,2020-08-01 05:00,,0.3,10,28,2,120.685306,23.913,36
斗六,雲林縣,30,,良好,1.6,0.15,16.1,24,29,10,7.5,8.2,0.7,0.7,136,2020-08-01 05:00,,0.2,9,28,1,120.544994,23.711853,37
崙背,雲林縣,60,細懸浮微粒,普通,1.8,0.23,7.1,16,39,19,13,14.5,1.5,1.0,130,2020-08-01 05:00,,0.2,19,42,2,120.348742,23.757547,38
新港,嘉義縣,56,細懸浮微粒,普通,1.5,0.27,7.6,22,34,16,11.8,13.6,1.8,0.8,107,2020-08-01 05:00,,0.2,18,34,2,120.345531,23.554839,39
朴子,嘉義縣,53,細懸浮微粒,普通,2.2,0.25,10,25,31,17,9.8,11,1.1,0.8,101,2020-08-01 05:00,,0.2,16,32,2,120.24781111,23.46712222,40
臺西,雲林縣,49,,良好,2.1,0.17,14.5,29,30,17,9,10.9,1.9,1.4,157,2020-08-01 05:00,,0.1,15,26,2,120.19933333,23.702175,41
嘉義,嘉義市,43,,良好,1.3,0.15,11.9,16,31,12,5.7,6.4,0.6,1.5,109,2020-08-01 05:00,,0.3,13,31,1,120.44083333,23.462778,42
新營,臺南市,46,,良好,1.8,0.26,14.4,24,31,21,5.1,6,1,0.4,58,2020-08-01 05:00,,0.3,14,30,1,120.31725,23.305633,43
善化,臺南市,45,,良好,2.2,0.18,3.2,12,26,13,11.3,12.7,1.4,0.7,174,2020-08-01 05:00,,0.2,14,28,2,120.297142,23.115097,44
安南,臺南市,63,細懸浮微粒,普通,1.6,0.26,15,19,32,16,12.3,13.6,1.4,0.8,92,2020-08-01 05:00,,0.3,20,37,2,120.2175,23.048197,45
臺南,臺南市,52,細懸浮微粒,普通,3.2,0.28,16.1,24,32,18,10.8,11.9,1.1,0.7,136,2020-08-01 05:00,,0.4,16,32,2,120.202617,22.984581,46
美濃,高雄市,72,細懸浮微粒,普通,1.7,0.28,6.6,13,38,23,2.4,2.9,0.5,0.7,170,2020-08-01 05:00,,0.3,24,41,2,120.530542,22.883583,47
橋頭,高雄市,72,細懸浮微粒,普通,1,0.24,12.0,11,30,15,11,12,1,0.7,87,2020-08-01 05:00,,0.4,24,40,2,120.305689,22.757506,48
仁武,高雄市,76,細懸浮微粒,普通,2.1,0.37,17.4,18,49,29,9.1,10.1,1,0.9,84,2020-08-01 05:00,,0.4,26,47,3,120.332631,22.689056,49
大寮,高雄市,86,細懸浮微粒,普通,2,0.16,5.3,11,25,14,5.9,7.9,2,0.8,334,2020-08-01 05:00,,0.5,30,43,3,120.425311,22.56413611,51
林園,高雄市,60,細懸浮微粒,普通,1.5,0.12,8.6,17,30,11,4.1,5.2,1.1,1.5,9,2020-08-01 05:00,,0.3,19,49,3,120.41175,22.4795,52
楠梓,高雄市,65,細懸浮微粒,普通,1.4,0.27,14.1,17,30,12,13.8,15.9,2.1,1.0,56,2020-08-01 05:00,,0.4,21,40,2,120.328289,22.733667,53
左營,高雄市,66,細懸浮微粒,普通,3.3,0.34,12.6,21,35,19,13,15.1,2.1,0.8,16,2020-08-01 05:00,,0.4,22,36,4,120.292917,22.674861,54
前金,高雄市,57,細懸浮微粒,普通,3.7,0.43,11.5,26,35,21,15.9,17.1,1.2,1.2,266,2020-08-01 05:00,,0.4,18,33,4,120.288086,22.632567,56
復興,高雄市,71,細懸浮微粒,普通,4.3,0.38,15.2,24,39,27,14.9,15.3,0.3,0.7,156,2020-08-01 05:00,,0.4,24,34,3,120.312017,22.608711,71
埔里,南投縣,43,,良好,2,0.21,6.7,11,23,12,7.9,8.2,0.3,0.8,49,2020-08-01 05:00,,0.3,13,25,2,120.967903,23.968842,72
馬祖,連江縣,16,,良好,3.1,0.05,5.1,7,16,2,3.3,4.1,0.8,2.0,327,2020-08-01 05:00,,0,3,17,2,119.949875,26.160469,75
金門,金門縣,41,,良好,2,0.14,22.3,30,29,11,6.2,7.1,0.9,0.4,288,2020-08-01 05:00,,0.1,12,36,3,118.312256,24.432133,77
馬公,澎湖縣,40,,良好,0,0.05,34.9,43,27,7,0.3,1.2,0.9,1.7,350,2020-08-01 05:00,,0.1,10,30,2,119.566158,23.569031,78
關山,臺東縣,19,,良好,0.5,-,1.5,2,26,4,1.5,3,1.6,1.2,344,2020-08-01 05:00,,-,4,20,1,121.161933,23.045083,80
麥寮,雲林縣,53,細懸浮微粒,普通,1.5,0.23,18.6,22,26,19,6.9,8.2,1.3,1.8,162,2020-08-01 05:00,,0.2,16,33,2,120.251825,23.753506,83
富貴角,新北市,15,,良好,0.5,0.05,,16,,,1.1,1.1,0,5.4,104,2020-08-01 05:00,,0.1,2,10,1,121.54738,25.29228,84
