SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,31,,良好,1.8,0.33,31,19.0,21.0,8.0,5.1,6.4,1.2,0.4,212.0,2019-09-26 02:00,,0.6,10,24,2.0,121.760056,25.129167000000002,1
汐止,新北市,34,,良好,6.9,0.32,14,18.0,22.0,11.0,21.0,21.0,0.6,1.0,25.0,2019-09-26 02:00,,0.4,11,23,3.0,121.6423,25.067131,2
萬里,新北市,58,臭氧八小時,普通,1.4,0.15,52,57.0,32.0,9.0,3.1,3.2,0.1,4.8,55.0,2019-09-26 02:00,,0.2,8,30,3.0,121.689881,25.179667000000002,3
新店,新北市,38,,良好,1.7,0.13,43,41.0,14.0,7.0,4.0,4.8,0.8,1.7,120.0,2019-09-26 02:00,,0.3,9,19,2.0,121.537778,24.977222,4
土城,新北市,50,,良好,1.4,0.24,36,41.0,20.0,17.0,6.6,6.9,0.2,1.2,350.0,2019-09-26 02:00,,0.3,15,19,2.0,121.45186100000001,24.982528,5
板橋,新北市,34,,良好,1.7,0.21,44,36.0,22.0,8.0,6.5,6.8,0.3,2.0,59.0,2019-09-26 02:00,,0.4,10,23,6.0,121.45866699999999,25.012972,6
新莊,新北市,45,,良好,1.2,0.24,40,39.0,19.0,13.0,,,,3.7,55.0,2019-09-26 02:00,,0.4,14,23,2.0,121.4325,25.037972,7
菜寮,新北市,33,,良好,2.0,0.29,33,36.0,26.0,11.0,9.8,12.0,2.1,2.0,68.0,2019-09-26 02:00,,0.4,10,23,1.0,121.48102800000001,25.06895,8
林口,新北市,42,,良好,1.6,0.2,41,45.0,23.0,8.0,7.0,8.2,1.2,3.6,80.0,2019-09-26 02:00,,0.2,11,22,2.0,121.376869,25.077197,9
淡水,新北市,36,,良好,0.7,0.29,27,31.0,24.0,11.0,7.6,8.3,0.8,,,2019-09-26 02:00,,0.4,11,21,1.0,121.44923899999999,25.1645,10
士林,臺北市,46,,良好,1.9,0.17,48,50.0,18.0,5.0,2.7,3.6,0.9,2.6,115.0,2019-09-26 02:00,,0.2,6,20,2.0,121.51538899999998,25.105417000000003,11
中山,臺北市,38,,良好,2.2,0.35,29,23.0,25.0,11.0,14.0,14.0,0.7,1.9,104.0,2019-09-26 02:00,,0.6,12,24,1.0,121.526528,25.062361,12
萬華,臺北市,37,,良好,1.0,0.27,37,29.0,21.0,11.0,9.9,12.0,2.2,1.6,96.0,2019-09-26 02:00,,0.4,11,23,2.0,121.507972,25.046503,13
古亭,臺北市,41,,良好,0.8,0.15,48,44.0,18.0,5.0,1.4,1.6,0.3,1.4,74.0,2019-09-26 02:00,,0.3,9,20,2.0,121.529556,25.020608,14
松山,臺北市,43,,良好,2.1,0.28,28,22.0,21.0,13.0,13.0,13.0,0.3,1.5,63.0,2019-09-26 02:00,,0.5,13,26,1.0,121.57861100000001,25.05,15
