SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,66,細懸浮微粒,普通,1.8,0.46,14.2,38,29,23,13.9,15.2,1.3,0.6,290,2020-05-16 01:00,,0.5,22,32,2,121.760056,25.129167,1
汐止,新北市,70,細懸浮微粒,普通,4.7,0.59,9,31,36,20,24.4,29.1,4.7,0.5,328,2020-05-16 01:00,,0.6,23,38,3,121.6423,25.067131,2
萬里,新北市,56,細懸浮微粒,普通,2.5,0.26,23.1,36,24,19,3.4,3.7,0.3,2.4,221,2020-05-16 01:00,,0.3,18,28,4,121.689881,25.179667,3
新店,新北市,65,細懸浮微粒,普通,1.3,0.33,20.7,32,27,16,6.6,7.1,0.6,2.2,174,2020-05-16 01:00,,0.5,21,31,2,121.537778,24.977222,4
土城,新北市,70,細懸浮微粒,普通,2.1,0.56,6,24,39,23,25.9,29.1,3.1,1.0,153,2020-05-16 01:00,,0.7,23,39,3,121.451861,24.982528,5
板橋,新北市,64,細懸浮微粒,普通,1.8,0.52,21.2,27,30,21,11.5,12.7,1.1,1.7,250,2020-05-16 01:00,,0.8,21,34,3,121.458667,25.012972,6
新莊,新北市,69,細懸浮微粒,普通,1.9,0.74,11.8,34,43,22,23.5,24.9,1.4,1.4,245,2020-05-16 01:00,,0.9,23,37,3,121.4325,25.037972,7
菜寮,新北市,68,細懸浮微粒,普通,1.5,0.62,11.7,18,35,20,20.9,22.9,2,1.3,200,2020-05-16 01:00,,0.7,22,34,2,121.481028,25.06895,8
林口,新北市,63,細懸浮微粒,普通,1.6,0.72,6.9,15,34,24,33.8,35.9,2.2,0.7,308,2020-05-16 01:00,,0.5,20,32,3,121.376869,25.077197,9
基隆,基隆市,63,細懸浮微粒,普通,2.7,0.46,21.2,14,26,25,13,19,5.9,1.1,263,2020-05-16 08:00,,0.4,20,29,3,121.760056,25.129167,1
汐止,新北市,66,細懸浮微粒,普通,2.1,0.69,14.8,11,36,23,20.5,31.3,10.8,1.0,16,2020-05-16 08:00,,0.5,21,36,3,121.6423,25.067131,2
萬里,新北市,56,細懸浮微粒,普通,4.4,0.41,22.1,23,30,19,11.7,15.9,4.2,1.8,57,2020-05-16 08:00,,0.3,18,27,4,121.689881,25.179667,3
新店,新北市,54,細懸浮微粒,普通,1.6,0.48,19.3,18,32,14,8.3,10.5,2.2,2.2,137,2020-05-16 08:00,,0.4,17,29,2,121.537778,24.977222,4
土城,新北市,70,細懸浮微粒,普通,2.9,0.72,14,6,40,29,22.2,30.7,8.6,1.2,358,2020-05-16 08:00,,0.6,23,36,3,121.451861,24.982528,5
基隆,基隆市,34,,良好,2.7,0.31,17.3,36,10,4,13.5,18.4,4.9,0.7,302,2020-05-16 18:00,,0.3,10,15,2,121.760056,25.129167,1
汐止,新北市,43,,良好,1,0.53,9.8,39,18,8,26.4,36.3,9.9,1.3,261,2020-05-16 18:00,,0.3,13,21,2,121.6423,25.067131,2
萬里,新北市,39,,良好,3.4,0.17,19.2,42,10,4,4.9,6.7,1.8,1.6,212,2020-05-16 18:00,,0.2,11,18,4,121.689881,25.179667,3
新店,新北市,44,,良好,1.6,0.4,14.5,47,5,2,19.6,22.1,2.5,1.4,153,2020-05-16 18:00,,0.3,9,14,2,121.537778,24.977222,4
土城,新北市,48,,良好,1.6,0.43,17.2,52,5,3,20.8,21.8,0.9,0.7,243,2020-05-16 18:00,,0.4,11,17,2,121.451861,24.982528,5
板橋,新北市,39,,良好,1.7,0.58,12.6,42,5,5,22.8,28.3,5.5,1.2,117,2020-05-16 18:00,,0.4,10,17,3,121.458667,25.012972,6
新莊,新北市,45,,良好,1.9,0.51,17.6,49,12,4,23.6,28.5,4.8,0.6,208,2020-05-16 18:00,,0.4,12,21,3,121.4325,25.037972,7
菜寮,新北市,37,,良好,1.7,0.64,13,35,5,3,23.8,28.5,4.7,2.1,219,2020-05-16 18:00,,0.4,11,18,3,121.481028,25.06895,8
林口,新北市,44,,良好,1.2,0.32,19.5,48,10,1,16.1,20.6,4.5,3.0,121,2020-05-16 18:00,,0.2,12,22,3,121.376869,25.077197,9
淡水,新北市,43,,良好,1.7,0.3,17,46,5,4,14.2,17.5,3.3,2.8,160,2020-05-16 18:00,,0.3,10,17,2,121.449239,25.1645,10
士林,臺北市,42,,良好,1.8,0.29,18.4,45,5,3,14.3,17.6,3.3,1.4,107,2020-05-16 18:00,,0.3,11,20,3,121.515389,25.105417,11
中山,臺北市,37,,良好,0.5,0.64,11.8,39,5,3,26.5,40.3,13.8,1.0,106,2020-05-16 18:00,,0.5,12,16,2,121.526528,25.062361,12
淡水,新北市,36,,良好,2.1,0.38,6.2,9,20,10,12.3,13.8,1.6,0,0,2020-05-16 01:00,,0.4,11,22,2,121.449239,25.1645,10
士林,臺北市,54,細懸浮微粒,普通,3,0.7,12.2,20,30,18,25,26.8,1.8,0.4,134,2020-05-16 01:00,,0.4,17,30,3,121.515389,25.105417,11
中山,臺北市,72,細懸浮微粒,普通,3,0.83,10,20,35,23,35.2,38.3,3.1,1.3,203,2020-05-16 01:00,,1,24,38,2,121.526528,25.062361,12
