SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
陽明,臺北市,,,設備維護,0.8,0.1,48,48.0,,4,0.8,1.5,0.6,,,2019-03-08 21:00,,0.1,2.0,,1,121.529583,25.182722000000002,
富貴角,新北市,47.0,,良好,-0.1,0.13,51,51.0,21.0,5,1.1,1.0,-0.1,6.6,75.0,2019-03-08 21:00,,0.1,6.0,19.0,0,121.536763,25.298562,
臺南(玉井),臺南市,51.0,細懸浮微粒,普通,1.7,0.18,16,31.0,44.0,27,12.0,13.0,0.9,0.2,82.0,2019-03-08 21:00,,0.1,16.0,26.0,2,,,
彰化(大城),彰化縣,39.0,,良好,4.6,0.37,27,42.0,22.0,13,19.0,21.0,2.3,1.3,20.0,2019-03-08 21:00,,0.3,12.0,19.0,3,,,
屏東(琉球),屏東縣,55.0,細懸浮微粒,普通,1.7,0.42,48,48.0,24.0,16,7.1,8.0,0.8,2.1,314.0,2019-03-08 21:00,,0.4,17.0,25.0,4,,,
基隆,基隆市,34.0,,良好,1.2,0.76,11,37.0,12.0,4,32.0,40.0,8.3,1.3,70.0,2019-03-08 23:00,,0.4,4.0,13.0,1,121.760056,25.129167000000002,
汐止,新北市,31.0,,良好,2.7,0.47,15,29.0,7.0,8,33.0,39.0,5.9,1.2,46.0,2019-03-08 23:00,,0.3,7.0,8.0,3,121.6423,25.067131,
萬里,新北市,51.0,臭氧八小時,普通,1.0,0.16,53,55.0,7.0,2,3.1,4.1,0.9,2.3,114.0,2019-03-08 23:00,,0.2,6.0,29.0,2,121.689881,25.179667000000002,
大園,桃園市,44.0,,良好,1.0,0.15,51,47.0,16.0,10,7.9,9.7,1.8,7.8,30.0,2019-03-08 21:00,,0.2,6.0,12.0,3,121.201811,25.060344,
觀音,桃園市,41.0,,良好,5.3,0.16,45,44.0,13.0,7,5.6,6.4,0.8,6.8,54.0,2019-03-08 21:00,,0.2,8.0,18.0,5,121.082761,25.035503,
平鎮,桃園市,35.0,,良好,2.7,0.43,29,24.0,11.0,11,24.0,27.0,2.8,1.6,44.0,2019-03-08 21:00,,0.5,11.0,18.0,2,121.20398600000001,24.952786,
龍潭,桃園市,43.0,,良好,3.7,0.4,32,37.0,21.0,8,19.0,21.0,2.9,1.1,91.0,2019-03-08 21:00,,0.3,13.0,21.0,3,121.21635,24.863869,
湖口,新竹縣,43.0,,良好,1.4,0.26,44,46.0,14.0,6,8.0,8.9,0.9,3.6,52.0,2019-03-08 21:00,,0.2,6.0,15.0,2,121.038653,24.900142000000002,
竹東,新竹縣,47.0,,良好,3.1,0.57,11,21.0,29.0,18,25.0,28.0,2.5,1.3,125.0,2019-03-08 21:00,,0.3,14.0,20.0,2,121.088903,24.740644,
